23972521
/m/076v_n4
/m/076v_n4
Danielle Steel
2003-11
{"/m/05hgj": "Novel"}
a 3
allows 1
an 3
and 6
appears 1
artist 1
as 4
at 4
be 1
beach 2
begin 1
begins 1
betrayed 1
both 1
bowles 1
but 3
city 2
comes 1
daughter 1
discovers 1
divorcee 1
eleven 1
end 1
ends 1
experienced 1
finally 1
find 1
first 1
for 2
french 1
friendship 1
harbour 2
has 2
healing 1
her 4
herself 1
him 1
his 1
homeless 1
in 2
inconsolable 1
indoors 1
is 3
job 1
leave 1
leaving 1
life 1
lit 1
lives 1
long 1
mackenzie 1
matt 5
mist 1
mother 2
mothera 1
named 1
novel 1
of 4
ophlie 4
outreach 1
painful 1
pip 4
process 1
program 1
reminds 1
safe 2
sceptical 1
see 1
she 4
shut 1
soon 1
strike 1
stumbles 1
such 1
summer 1
that 1
the 10
their 1
they 1
through 1
to 3
tragedy 1
tries 1
unusual 1
up 3
upon 1
volunteer 1
wanders 1
way 2
wedding 1
when 1
while 1
with 2
without 1
witness 1
woman 1
worst 1
