5279170
/m/0dc8c_
/m/0dc8c_
Ruth Rendell
1982-04-05
a 2
across 1
affair 1
after 1
an 1
and 2
another 1
as 1
badly 1
been 2
body 1
columnist 1
corpse 1
countryside 1
discover 1
disfigured 1
ensues 1
events 1
face 1
finds 1
from 1
goes 2
hair 1
has 2
having 1
he 3
her 1
himself 1
his 2
however 1
known 1
lies 1
local 1
long 1
of 2
often 1
on 3
outside 1
police 1
shaven 1
sinister 1
stephen 1
stumbles 1
surfaces 1
suspicion 1
take 1
that 2
the 4
then 1
through 1
to 1
tragedy 1
turn 1
under 1
vangmoor 1
voice 1
walby 1
walks 1
when 2
whose 1
wife 1
window 1
woman 1
young 1
