3015427
/m/08kpxz
/m/08kpxz
Scott O'Dell
1976-03-29
{"/m/0dwly": "Children's literature", "/m/02xlf": "Fiction"}
14yearold 1
a 1
alive 1
allows 1
although 1
an 2
and 17
appears 1
are 1
argue 1
aru 1
as 2
assigned 1
at 3
attempts 1
aunt 1
away 1
baskets 1
bay 1
be 2
becomes 1
beginning 1
behind 1
believe 1
believes 1
believing 1
blue 2
boat 1
book 2
bringing 2
brother 1
but 1
by 1
cant 1
captain 4
cave 1
chained 1
communicate 1
company 1
cooking 1
cordova 1
courtyard 2
days 1
decides 1
dies 3
dinghy 1
do 2
dog 2
dolphins 2
dormitory 4
eighteenfoot 1
escape 2
evidence 1
fascinated 1
father 6
few 1
filling 1
finally 1
find 1
finds 1
fires 1
fleas 1
footprints 1
for 1
found 1
free 1
from 2
girls 1
gives 1
goes 1
had 1
hands 2
he 3
help 1
her 7
hidden 1
him 1
himself 1
his 1
hometown 1
horses 1
hunt 1
huts 1
ill 1
in 8
including 1
indian 1
indians 2
instigator 1
into 2
is 7
island 4
karana 12
keep 1
key 1
later 2
learns 1
left 1
lets 1
like 1
living 1
loves 1
make 1
malatesta 2
mando 2
meanwhile 1
melons 1
merced 1
missing 1
mission 2
money 1
monterey 1
moves 1
nidever 3
niece 1
none 1
not 1
of 10
on 4
originally 1
other 2
others 2
otters 1
out 2
over 1
pala 1
people 1
place 1
planning 1
previous 1
priests 1
prison 2
puts 1
remains 1
rescuing 1
return 1
returns 1
rontu 1
rontuaru 1
room 1
run 1
sails 1
same 1
sand 1
second 1
sell 1
separated 1
sets 1
settling 1
she 7
signs 1
sleep 1
small 1
society 1
still 1
stone 2
takes 1
that 2
the 34
them 1
then 1
there 3
they 2
things 1
to 14
twice 1
ultimately 1
unaccustomed 1
unlocks 1
unsuccessful 1
up 1
very 1
vicente 3
was 1
weave 1
were 1
what 1
where 1
which 2
with 3
woman 1
women 1
years 1
younger 1
zia 8
