4915976
/m/0cv0g1
/m/0cv0g1
Francine Pascal
2004
{"/m/06nbt": "Satire", "/m/03mfnf": "Young adult literature"}
16year 1
a 7
afoul 1
against 1
all 2
almost 1
also 1
and 17
another 1
around 2
at 4
backbone 1
bash 1
be 1
beautiful 1
becomes 1
been 1
between 1
bitch 1
book 1
boyfriend 1
break 1
bringing 1
bullying 1
by 3
centers 1
chasing 1
class 1
clique 2
cohorts 1
considers 1
controlling 1
crowd 1
deena 2
designer 1
dropping 1
encouraged 1
entourage 1
even 1
eventually 1
everyone 2
exact 1
fact 2
fear 1
first 2
for 1
friends 1
fry 1
gathering 1
gay 9
girl 2
girls 1
hangeron 1
happens 1
has 2
hate 1
helpless 1
her 5
high 1
highland 1
ignorant 1
in 5
intimidated 1
intimidating 1
into 1
is 4
isnt 1
it 1
itself 1
jeanette 7
just 1
killed 1
kind 1
labeled 1
labels 1
leads 1
learn 1
led 1
likes 1
local 1
love 1
make 1
mall 1
marginalizing 1
mentality 1
myrna 1
nasty 1
neighborhood 1
new 2
night 1
no 1
of 7
old 1
on 2
online 1
other 1
out 3
outcast 1
pack 1
park 1
peer 1
pessimistic 1
poor 1
practically 1
prank 1
pressure 1
pretend 1
racist 1
raped 1
realize 1
rear 1
rejects 1
resident 1
respect 1
retaliating 1
revenge 1
rich 2
ruling 1
runs 2
ryder 1
school 6
shallow 1
she 3
showdown 1
silently 1
slut 1
social 1
soon 1
stand 1
stark 1
state 1
strut 1
students 1
sue 7
team 1
that 3
the 22
their 1
themselves 1
they 1
to 7
together 1
town 1
transfers 1
trust 1
turns 1
two 1
twyla 9
until 2
up 1
vicious 1
victim 1
vow 1
wealthy 1
websites 1
when 1
where 1
who 3
wicked 1
with 4
worse 1
worst 1
you 1
