527498
/m/02ltmw
/m/02ltmw
Richard Rodgers

18th 1
a 15
about 1
accuses 1
affairs 1
affection 1
after 1
agrees 2
amends 1
americans 1
an 3
and 17
announces 1
antiques 1
are 3
arrives 3
as 4
assures 1
at 1
attempt 1
attitude 1
attracted 1
authentic 1
awoke 1
be 2
because 4
been 1
before 1
being 1
believes 1
between 1
both 1
but 7
buy 1
by 1
cancels 1
casual 1
century 1
check 1
children 2
city 2
coffee 1
come 1
comes 3
comfort 1
commission 1
complicated 1
consider 1
country 1
couple 1
date 1
day 4
delivered 1
di 1
discovers 1
distance 1
divorce 1
doctor 1
doesnt 1
drunkenly 1
each 1
eddie 3
enamoured 1
evening 2
exactly 1
explains 1
extend 1
extramarital 1
facing 1
father 1
find 1
finding 1
finds 1
fioria 5
following 1
for 6
friends 1
garden 1
garnet 1
gift 1
gives 1
glass 2
glasses 1
goblet 3
goes 2
gone 1
had 1
happily 1
has 1
have 3
he 6
hearing 1
her 12
hers 1
herself 1
him 4
himself 2
his 9
hosts 1
hotel 1
however 1
ill 1
immediately 1
impossible 1
in 9
inside 1
inspect 1
interested 1
invite 1
is 10
it 3
jennifer 2
jeweler 1
join 1
keep 1
late 1
later 2
leaves 2
leona 11
life 1
like 1
living 1
loved 1
make 2
marco 1
married 1
matching 1
mcilhennys 3
meanwhile 1
meeting 1
meets 1
misrepresented 1
money 3
necklace 2
needs 1
new 1
next 1
not 5
of 10
offer 1
offers 1
older 1
on 4
one 1
only 4
option 1
other 1
out 1
outlook 1
overhearing 1
own 1
owner 1
package 2
pair 1
part 1
party 2
pensione 4
permit 1
piazza 1
piece 1
previous 1
problems 1
progress 1
purchase 1
put 1
realizing 1
received 1
refuses 1
regret 1
relationship 1
renato 10
rendezvous 1
reproduction 1
returning 1
returns 1
reveals 1
rome 1
rossi 1
ruby 1
sale 1
samish 1
san 1
second 1
secretary 1
see 1
sees 1
set 1
she 8
shopping 1
show 2
sights 1
signora 2
son 2
soon 1
spent 1
states 1
stay 1
staying 1
still 1
store 2
tell 2
tells 2
that 4
the 27
their 7
there 2
they 3
this 1
thrilled 1
to 24
together 1
tour 1
united 1
up 1
vacation 1
value 1
venice 3
vito 2
wants 2
well 2
when 2
where 1
while 1
who 3
wife 1
will 1
window 1
with 5
woman 1
words 1
would 1
wrong 1
yeager 1
yeagers 2
years 1
york 1
