15055
/m/03wqm
/m/03wqm
Walter Scott
1819
a 33
abandoned 1
abduct 1
able 1
about 1
accepts 1
accolades 1
accompanied 1
accompanies 1
account 1
acre 1
action 1
actually 1
administer 1
advisor 1
aethelstane 7
after 4
against 2
agree 1
agrees 2
aided 1
albert 1
alive 1
alliance 1
also 1
an 2
and 41
anything 1
appearance 1
archery 1
are 4
armour 1
arrives 3
arriving 1
as 9
ashby 1
ashbydelazouch 1
assistance 1
assists 1
assorted 1
at 10
attempt 1
attempting 1
attendance 1
attentions 1
avaricious 1
away 2
bandits 2
banishes 1
baron 1
battle 2
be 4
beaumanoir 1
beautiful 1
because 2
been 3
before 1
behalf 1
behaviour 1
being 2
beseeching 1
beset 1
besiege 1
besiegers 2
best 2
bestow 1
bestows 1
between 2
bid 1
black 5
boisguilbert 9
book 4
bound 1
bout 1
bracy 8
brian 1
brings 1
brother 1
burning 1
but 7
by 19
calms 1
captive 2
captives 3
captor 1
captors 1
captured 1
care 1
carousal 1
cast 1
castle 4
causes 1
cedric 19
cementing 1
chain 1
champion 5
characters 1
choose 1
chosen 1
claim 1
claims 1
clerk 2
coffin 1
combat 1
come 1
comes 1
companion 1
companions 2
companionsinarms 1
competition 1
conclusion 1
coningsburgh 1
consternation 1
contending 1
conveyed 1
convinces 1
convincing 1
copmanhurst 2
coronet 1
country 1
court 1
crown 1
crusades 2
daughter 3
day 4
de 18
dead 1
death 1
debt 1
decides 1
declare 1
declared 1
declares 1
declines 1
defeat 1
deliver 1
departed 1
departure 1
descendant 1
descent 1
described 1
desdichado 8
desirous 1
despite 1
devastated 1
dies 1
disguised 1
disinherited 2
displeased 1
do 1
does 1
due 1
dungeon 1
ear 1
earlier 1
earning 1
emerges 1
en 1
encounter 1
ended 1
england 3
escape 2
escapes 2
evened 1
expecting 1
expresses 1
fact 1
faineant 1
fall 1
falling 1
farewell 1
farthing 1
father 4
fear 2
fearing 1
feats 1
few 1
fight 3
fighting 1
final 2
finally 2
finds 1
first 1
fitzurse 1
flawed 1
flee 1
flock 1
foes 1
follow 1
following 2
follows 1
fond 1
for 15
force 1
forced 2
forces 1
forests 1
forfeit 1
fought 1
found 1
free 2
freed 1
friar 3
friend 1
from 13
frontdeboeuf 5
funeral 2
further 1
garrison 1
gates 1
god 1
