4923084
/m/0cvcyr
/m/0cvcyr
Dean Koontz
1997
{"/m/01jfsb": "Thriller", "/m/02n4kr": "Mystery", "/m/014dfn": "Speculative fiction", "/m/0dwly": "Children's literature", "/m/02xlf": "Fiction"}
2121 2
858 1
a 11
able 3
acknowledging 1
agents 1
also 1
an 1
and 10
anniversary 1
another 1
answers 1
anyone 1
are 1
area 1
around 1
as 2
at 1
attempt 1
attempting 1
be 2
because 1
been 2
begins 1
being 1
beings 1
but 2
by 1
can 1
cannot 1
carpenter 1
ccy 1
centers 1
claiming 1
compound 1
control 2
convinces 1
cope 1
crash 5
crashed 1
daughter 2
daughters 1
dead 1
deaths 1
developed 1
development 1
discovering 1
escaped 1
even 2
everyone 1
experiment 1
family 1
finally 1
for 1
forced 1
full 1
fully 2
gets 1
getting 1
girl 5
give 1
gravestone 1
had 2
happened 1
has 2
have 1
heal 2
healing 2
her 2
herself 1
him 3
his 4
hope 1
hurt 1
if 2
in 4
interested 1
involving 1
is 4
it 2
joe 5
just 1
keeping 1
kill 4
know 1
laboratory 1
large 1
leads 1
life 2
like 1
live 1
living 1
looking 1
looks 1
lost 1
made 1
man 1
matured 1
may 1
means 1
meets 1
minds 1
named 1
never 3
night 1
none 1
not 1
novel 1
number 1
of 10
on 4
one 1
only 1
out 2
over 1
picture 1
pictures 1
pilot 1
places 1
plan 1
plane 4
potential 1
power 1
powers 2
prior 1
promises 1
really 1
reported 1
rose 7
run 1
safe 1
see 1
seeking 1
sense 1
she 5
shot 1
smuggled 1
some 1
somehow 1
ssw858 1
stopping 1
story 1
strange 1
suicides 1
survivor 1
take 1
taking 1
telepathically 1
tell 1
that 6
the 20
their 1
them 1
themselves 1
there 1
things 1
this 3
through 1
to 16
touches 1
truth 1
turns 1
two 1
until 2
victims 1
wants 1
was 3
weakness 1
were 2
what 1
when 1
which 1
while 1
who 4
wife 1
with 3
woman 1
year 2
yet 1
