3245853
/m/090_7r
/m/090_7r
Spider Robinson
2006-09-19
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
0 1
1 1
20year 1
500 1
76 1
a 15
able 2
aboard 1
actually 1
after 1
aged 1
alien 1
all 2
already 1
an 2
and 16
another 1
are 5
as 2
aspiring 1
astrophysical 1
at 4
be 2
bear 1
because 2
becoming 1
board 1
both 1
business 1
businessman 1
by 1
can 1
cannot 1
capable 1
carrying 1
catastrophe 1
caused 1
charles 1
child 1
children 1
coast 1
college 1
colonies 3
colony 1
coming 2
commits 1
composer 1
conrad 7
conrads 2
contact 1
contacted 1
continue 1
continuously 1
contrary 1
control 1
controlling 1
converted 1
corresponds 1
cousin 1
crew 3
day 1
deadly 1
decides 2
defeated 1
despite 1
destination 2
destiny 1
developed 1
dilation 1
disaster 1
distant 1
domineering 1
doomed 1
down 1
dozens 1
drive 4
dynasty 1
each 1
earth 3
education 1
efforts 1
eighteenyearold 1
energy 1
engine 1
error 1
escape 1
essential 1
establish 2
estate 1
evacuation 1
evelyn 4
everyone 1
exists 1
expanding 1
experience 1
experimental 1
explains 1
falls 1
family 2
farm 1
farmer 1
faster 1
fasterthanlight 2
fellow 1
five 1
flees 1
for 7
four 1
from 2
future 1
gamma 1
ganymedean 1
genius 1
get 1
going 1
gone 1
granddaughter 1
grandfather 1
groomed 1
hamilton 1
has 7
he 4
headed 1
help 1
her 2
him 1
his 5
hours 1
however 1
humanity 2
husband 1
impossible 1
in 5
incapacitated 1
including 1
intended 1
intention 1
into 3
is 15
it 5
its 2
jinnia 1
jinny 5
joel 8
johnston 1
join 1
joins 1
killed 1
killing 1
learns 2
leaving 1
left 1
light 1
lightspeed 1
lightyears 1
love 1
lying 1
maintain 1
man 1
mapped 1
margin 1
marriage 1
married 1
marry 1
mass 1
mentally 1
minds 1
mission 1
musician 2
nearly 1
needed 1
needs 1
next 1
nine 1
no 2
not 1
nova 2
now 1
obtain 1
of 17
on 3
one 5
only 6
orphans 1
other 2
out 1
over 1
overtakes 1
own 1
parttime 1
penniless 1
people 2
period 1
persuaded 1
plan 1
planet 1
planetbound 1
preferring 1
produce 1
proposes 1
pursue 1
quantum 2
radiation 2
ramjet 2
rather 1
reach 1
ready 1
realizes 1
regularly 1
relationship 1
relativist 1
relativistic 1
relativists 2
reliably 1
rest 1
restart 1
returning 1
reveals 1
revolutionary 1
richard 2
richest 1
role 1
rss 1
run 1
scattered 1
scientist 1
sevenyearold 1
several 2
she 4
sheffield 5
ship 5
short 1
shuts 1
shuttling 1
siblings 1
six 2
solar 1
soon 1
space 1
spare 1
species 1
speculated 1
speed 1
speeds 1
stand 1
star 1
stay 1
stop 1
stopped 1
strain 1
student 1
suicide 1
sun 3
supplies 1
system 1
telepaths 1
telepathy 1
ten 1
than 2
that 8
the 42
their 5
then 2
theories 1
threatening 1
three 1
through 2
time 4
to 21
transferred 1
twins 1
unable 1
vast 1
vessel 1
via 1
virtually 1
voyage 3
warn 2
was 1
wave 1
wavefront 1
when 1
who 3
wife 1
will 2
with 8
works 1
year 1
years 1
