6692508
/m/0ghkzl
/m/0ghkzl
William Trevor
2002
{"/m/05hgj": "Novel"}
121 1
a 6
about 2
after 1
age 1
an 2
and 10
angloirish 1
another 1
are 2
army 1
arsonists 1
asylum 1
away 1
battle 1
bees 1
begins 1
being 1
believe 1
between 1
bond 1
books 1
boy 1
british 1
burned 1
by 5
cannot 1
captain 1
care 1
caretakerfarmers 1
caught 1
character 1
child 1
close 1
coast 1
companionship 1
confusion 1
cork 1
county 1
departure 1
deserves 1
discovered 1
disturbed 1
drowned 1
due 1
during 1
ears 1
england 1
eve 1
events 1
family 2
father 2
fear 1
feels 3
fires 1
for 2
forgiveness 1
forms 1
from 3
gault 1
gets 1
getting 1
gone 1
guilty 1
had 1
happiness 1
having 2
he 2
hears 1
her 13
hides 1
him 1
his 3
house 3
houses 1
httpbooksguardiancoukbookerprize2002story08008000html 1
httpquerynytimescomgstfullpagehtmlres07efde1030f3aa1575ac0a64c8b63 1
in 9
incarcerated 1
independence 1
injures 1
internet 1
into 1
ira 1
irish 1
is 7
it 3
italy 1
keeping 1
kept 1
land 1
landowners 1
late 1
law 1
led 1
let 1
life 3
live 1
lives 1
loneliness 1
lonely 1
longs 1
lost 1
love 2
lucy 5
many 1
martial 1
move 2
much 1
nearby 1
night 1
not 1
of 9
old 2
on 4
only 1
out 1
owner 1
parents 3
people 1
person 2
phones 1
place 1
plans 1
previous 1
protestant 1
ralph 1
reading 1
relieve 1
returns 1
rifle 1
running 1
sad 1
salvage 1
sea 2
second 1
sees 1
series 1
servants 1
settle 1
she 12
shot 1
shoulder 1
silence 1
spends 1
spent 1
starts 1
switzerland 1
taken 1
that 3
the 26
their 3
they 1
thus 2
time 1
to 9
told 1
too 2
tries 1
turned 1
under 1
uneasy 1
unspoken 1
very 2
village 1
visiting 1
war 2
warning 1
was 2
what 2
when 3
where 1
who 1
why 1
wireless 1
wished 1
wishes 1
with 5
without 1
wonders 1
woods 1
world 1
wounded 1
years 2
young 1
