18411184
/m/04f60d2
/m/04f60d2
Paul Roberts
2004
{"/m/05h83": "Non-fiction"}
1712 1
a 4
according 1
affluent 1
aims 1
all 1
alternative 1
although 1
an 2
and 4
any 1
are 2
as 11
at 1
become 1
begins 1
best 1
book 2
burning 1
but 1
by 3
carbon 1
carrier 1
chapter 1
chronological 1
citing 1
claims 1
coal 1
concerned 1
conflicts 1
consumed 1
contribute 1
controversial 1
countries 2
denying 1
develop 1
developed 1
dilemma 1
dilemmas 1
dioxide 1
end 2
energy 2
engine 1
explain 1
extracted 1
faces 1
far 1
finally 1
first 1
focused 1
for 1
fossil 3
from 1
fuels 3
further 1
future 1
gas 1
geological 1
global 1
goes 1
ground 1
have 1
he 1
helped 1
highly 1
history 1
how 1
humanity 3
hydrogen 1
importantly 1
in 5
industrial 1
international 1
interplay 1
intertwined 1
iraq 1
is 8
it 1
its 1
known 1
large 1
lays 1
limited 1
locked 1
major 1
may 2
members 1
most 1
much 1
natural 1
nature 2
newcomen 1
not 3
of 11
oil 10
on 5
one 1
opec 1
or 1
others 1
out 1
peak 1
politically 1
possible 1
presented 1
previously 1
problems 2
prologue 1
prone 1
question 1
rather 1
reason 1
recounting 1
relations 1
releases 1
reliance 2
resulting 1
revolution 1
roberts 3
siblings 1
since 2
solution 1
some 2
source 1
spark 1
states 2
steam 1
such 4
supply 1
that 3
the 22
their 1
then 1
there 1
therefore 1
this 1
thomas 1
though 1
three 1
thus 1
to 7
trade 1
united 1
unstable 1
use 1
very 1
war 1
warming 1
was 1
while 1
with 2
