10872861
/m/02qsnzs
/m/02qsnzs
Daniel Pinkwater
1982
600 1
a 3
against 1
allowed 1
along 1
and 7
are 3
around 1
assistant 1
blue 2
bright 1
bring 1
brought 1
but 1
collecting 1
come 1
competition 1
consists 1
cook 4
cooks 4
create 1
discover 1
dish 2
distant 1
earth 2
end 1
fat 1
fattening 1
fierce 1
food 2
for 1
from 4
galaxy 2
garlic 1
great 1
greatest 2
ham 1
he 2
his 1
in 3
inhabit 1
is 4
it 1
kosher 1
later 1
leader 1
magic 1
maple 1
melons 1
moscow 1
name 1
new 2
norman 3
oats 1
of 4
olives 1
one 1
other 1
pears 1
pirates 1
pitted 1
pizza 1
planet 2
planets 2
pounds 1
prize 1
quite 1
radishes 1
raw 1
restaurant 1
salami 1
sargon 1
satisfied 1
search 1
second 1
space 1
spiegel 3
spiegelian 1
steve 4
syrup 1
take 1
the 13
their 1
they 4
to 5
travel 1
two 1
types 1
unhealthy 1
uses 1
venus 1
which 1
with 2
