3996780
/m/0bbpgh
/m/0bbpgh
Arthur Ransome
1931
{"/m/0dwly": "Children's literature", "/m/02xlf": "Fiction", "/m/08sdrw": "Adventure novel"}
a 14
able 1
about 1
above 1
accident 1
across 2
act 1
adventures 1
after 2
all 1
alternative 1
amazon 1
amazons 4
an 3
and 22
ankle 1
appears 1
are 3
arrange 1
arrive 1
arrives 1
as 1
at 1
aunt 3
back 1
be 1
beautiful 1
behaviour 1
being 1
billy 1
boat 2
book 1
both 1
bracken 1
burner 1
but 2
by 4
camp 2
camping 3
captain 1
carried 1
cat 2
cave 1
charcoal 1
come 1
commanding 2
day 1
demanding 1
despite 1
discover 1
elders 2
empty 1
ends 1
enjoy 1
escape 2
eventually 1
expedition 1
explains 1
farmers 1
fashions 1
feast 1
ferry 1
finally 1
find 3
flint 1
fog 1
followed 1
following 2
for 4
fortunately 1
from 1
gear 1
get 1
getting 1
great 3
has 2
he 1
hidden 1
hill 1
his 2
hitching 1
hits 1
holiday 1
home 1
hound 1
impossiblecaptain 1
in 2
injured 1
instincts 1
intervals 1
is 4
island 3
it 1
john 1
kanchenjunga 1
knickerbockerbreaker 1
ladies 1
lake 2
lakeland 1
late 2
learns 1
leaves 1
lessons 1
life 2
lifts 1
like 1
local 1
lost 1
made 1
maria 1
mast 1
meet 1
memorize 1
moor 1
moors 2
morning 1
mount 1
nancy 1
native 1
nearby 1
needs 1
new 2
next 2
night 1
of 3
old 1
on 7
only 2
parties 1
peggy 1
pike 1
pirates 1
poetry 1
proper 1
punished 1
race 1
recite 1
reflect 1
rendezvous 1
repaired 1
repairing 1
replace 1
restricting 1
return 2
returning 1
ride 1
rock 1
roger 4
salvaged 1
saved 1
second 1
secret 1
see 1
she 2
ship 1
sinks 1
sleep 1
so 1
some 2
spending 1
sprained 1
stars 1
stay 1
stickler 1
stretcher 1
sudden 1
suffering 1
summer 1
summit 1
swallow 3
swallowdale 3
swallows 4
tarn 1
that 2
the 33
their 2
they 1
thick 1
this 1
through 1
time 2
titty 3
to 11
trail 1
trails 1
trek 1
trouble 1
trout 1
under 1
up 1
valley 1
valuable 1
way 1
while 3
wild 2
wildcat 1
will 1
with 3
woodcutters 1
woodsmen 1
young 1
