23017093
/m/09cxx7x
/m/09cxx7x
James Patterson
2009
24year 1
a 16
able 1
about 2
act 1
activities 1
actually 1
administration 3
agent 2
agents 1
alex 1
all 3
allowed 1
almost 1
also 1
an 2
and 14
apartment 2
are 1
arrest 1
as 1
at 2
back 2
based 1
be 3
been 2
before 1
being 1
birthday 1
blacksmith 1
blake 1
bodies 1
body 1
bosses 1
briana 1
brother 1
brought 1
but 1
by 8
call 1
called 1
car 1
caroline 5
carolinewho 1
case 1
center 1
character 1
chipper 1
circumstances 1
club 1
come 1
compulsion 2
connection 1
connections 2
contacted 1
cormorant 3
country 3
course 1
crime 1
cross 10
culpeper 1
current 2
dan 1
daughter 1
dc 1
dcincluding 1
detail 1
detective 1
disappeared 1
discover 3
dismembered 2
down 1
driven 1
during 1
efforts 1
either 1
embarrassment 1
enjoying 1
escape 1
escort 5
escorting 1
escorts 1
escortslike 1
extensive 1
family 1
farmer 2
farms 1
fbi 1
few 1
final 1
first 1
follow 1
for 1
forced 1
found 2
friend 1
from 2
further 3
girlfriend 1
give 1
goes 1
hand 1
happened 1
has 3
have 2
he 2
health 1
help 1
her 2
highend 2
him 4
his 15
however 1
husband 1
immediately 1
in 7
indulge 1
inexplicably 1
informing 1
inside 1
instead 1
investigation 4
investigative 1
is 10
it 1
just 1
keep 1
kennedy 1
killed 3
killing 1
kills 1
late 1
lead 2
like 1
likely 1
lingerie 1
lived 1
locale 1
loyalty 1
maggie 1
mahoney 1
managed 2
mask 3
may 1
met 2
miles 1
most 1
murdered 2
named 1
ned 1
never 1
niece 1
not 1
nurse 1
of 8
old 2
on 3
one 1
only 2
or 1
organized 1
other 2
out 1
over 1
party 2
people 3
personal 1
president 3
presidential 3
prostitution 1
protect 1
provided 1
question 1
quickly 1
quiet 1
receives 1
recommends 1
refuses 1
remembered 1
reveals 3
richmond 1
rogue 1
rush 1
saw 2
scandal 1
secret 5
secretive 1
sensing 1
service 5
several 1
sex 1
she 2
shocked 3
shoots 1
shot 1
someone 1
spared 1
spouse 1
stateswho 1
stone 1
stops 1
survive 1
suspicious 1
takes 1
that 7
the 20
thedore 1
their 1
them 1
theodore 6
this 1
thwarted 1
times 1
to 25
took 1
tragically 1
trunk 1
turns 1
ultrasecretive 1
under 1
united 1
up 2
upon 1
us 1
vance 11
various 2
virginia 3
want 2
wardrobe 1
was 3
washington 2
wears 1
were 1
when 2
where 1
who 4
will 1
with 4
without 2
wood 1
yet 1
young 2
zeus 5
