5407607
/m/0dkhjj
/m/0dkhjj
Steven Brust
1984-05
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
a 11
abandon 1
abandoned 1
abdiel 7
about 1
abyss 1
accidentally 1
acknowledge 1
after 1
against 1
aided 1
all 2
allow 1
an 1
and 19
angel 2
angels 6
announcement 1
anyone 1
archangels 1
ariel 2
arises 1
as 4
ascendency 1
asmodai 1
at 1
attempt 1
attempting 1
attempts 1
avenge 1
battle 1
be 1
beelzebub 4
been 3
before 1
begins 3
belial 2
blind 1
blueprint 1
body 1
both 2
breach 1
breached 1
briefly 1
brings 1
but 3
by 6
cacoastrum 5
came 1
can 1
cannot 2
captured 1
cardinal 1
center 1
chaos 1
charges 1
claim 1
closest 1
coerce 1
collapsed 1
compass 1
competent 1
conflict 1
consciousness 1
consort 1
construction 1
continues 2
convinces 1
coolly 1
cooperation 1
craftsman 1
craves 1
create 2
creates 1
creating 1
creation 1
decency 1
decides 1
deepening 1
defeat 1
destroy 3
destroyed 1
detailing 1
devastating 1
devises 1
die 1
digging 1
directing 1
directly 1
discover 1
discuss 1
dishonest 1
divided 1
dour 1
dragon 1
during 1
each 1
earth 1
east 1
eldest 1
energy 1
escalate 1
ethical 1
even 1
event 1
events 1
every 1
exacerbating 1
expanding 1
factions 1
fight 1
finds 3
finish 1
first 1
firstborn 3
flooding 1
followers 1
fools 1
for 4
forces 1
form 1
four 1
fourth 1
from 4
gabriel 1
gain 1
get 1
gives 1
god 1
godhood 1
golden 1
had 2
halfmad 1
harut 1
has 2
have 3
he 6
healer 1
heaven 13
heir 1
hell 1
help 1
him 3
himself 2
his 13
hole 2
hosts 2
however 1
if 1
illiaster 2
imminent 1
important 1
in 12
include 1
independent 1
inevitable 1
innocent 1
intercepts 1
into 3
involved 1
involving 1
is 9
it 2
join 1
kills 1
kindly 1
kyriel 1
larger 1
later 1
leaping 1
least 1
leaves 1
leviathan 2
life 1
lilith 1
longer 1
lowlevel 1
loyal 1
lucifer 2
matters 2
meanwhile 1
mephistopheles 3
michael 4
misinterpret 1
mostly 1
musician 1
naive 1
named 2
nature 1
neither 1
new 3
newfound 1
no 1
northern 1
not 4
now 1
of 19
on 1
only 2
opponents 2
opportunity 1
order 2
other 2
over 1
oversees 2
paradise 1
participating 1
plan 1
played 1
playing 1
poetryquoting 1
points 1
previously 1
proclaims 1
proof 1
protect 1
rally 1
rank 1
raphael 3
raw 1
rebels 1
referred 1
regencies 1
regency 2
respectively 1
resulted 1
resulting 1
retriever 1
right 1
rules 3
run 1
rupture 1
sacrifices 1
satan 14
sea 1
second 1
securing 1
seeing 2
serpent 1
servant 1
shape 1
side 1
sides 1
since 1
sith 1
smirking 1
sneering 1
so 1
somewhat 1
son 1
south 1
step 2
story 3
strangles 1
stronghold 1
stuff 1
stuns 1
subplot 1
substance 1
supporter 1
supporters 1
swept 1
telling 1
that 8
the 61
their 1
them 4
themselves 1
then 1
there 1
they 1
third 3
this 4
thousand 1
threatens 1
times 1
to 12
towards 1
trapped 2
triumph 1
trouble 1
two 4
unfortunately 1
up 1
uriel 1
using 1
viewpoints 1
wall 2
walls 2
war 1
warrior 1
wave 3
waves 1
western 1
when 3
where 1
which 1
who 4
will 4
with 7
woman 1
wondering 1
work 1
worried 1
worshipers 1
wound 1
yaweh 11
yeshuah 2
yet 1
zaphkiel 2
