13765864
/m/03chm2h
/m/03chm2h
Sergey Lukyanenko
1997
{"/m/06n90": "Science Fiction", "/m/01hmnh": "Fantasy", "/m/05hgj": "Novel"}
20 1
a 41
abandons 1
able 1
about 1
accidentally 1
acquired 1
across 3
adamant 1
adult 2
adults 3
adventure 1
after 6
again 2
against 4
age 1
all 2
allow 2
already 2
also 1
altitude 1
always 1
an 4
and 34
angry 1
another 2
apparently 1
appearing 1
appears 1
are 1
argue 1
arms 1
around 1
arrival 1
arrives 1
arriving 1
as 15
at 2
attack 3
attacks 1
away 2
baited 1
basement 1
battle 1
be 3
become 2
becomes 1
before 2
begin 1
begins 1
being 3
bird 1
bit 1
black 2
blind 1
boat 2
body 1
both 2
box 1
boy 3
boys 4
boywinger 1
breaks 1
brings 1
brought 1
but 4
by 2
cache 1
can 4
canisters 2
capable 2
caravan 1
case 1
cause 1
certain 1
changes 1
characters 1
child 1
children 1
chose 1
cities 3
city 6
civilization 1
claiming 1
comforts 1
completely 1
connected 1
continue 1
convince 1
core 1
creature 1
creatures 3
crumbles 1
current 2
danny 25
dark 8
darkness 8
daughter 1
dawn 1
deal 1
decides 1
defeating 1
defending 3
demands 2
despite 1
destroy 1
destroying 2
die 1
dies 1
discovers 2
distract 1
distraction 1
do 1
does 1
door 5
doorway 1
down 1
draw 1
drop 1
dropping 1
drops 1
due 1
during 1
dusk 1
dust 1
dying 1
each 1
earlier 1
earth 3
elder 2
elders 1
electricity 1
encounter 1
encounters 1
ends 1
enemy 3
ensure 1
escorted 1
escorts 1
essence 2
etc 1
eternal 1
eternally 1
even 1
eventually 1
explaining 1
explains 1
eyes 1
facing 1
falls 1
fast 1
fear 1
feel 1
few 1
fight 2
figure 1
filled 1
final 1
finally 1
find 4
fire 5
first 2
fly 4
flying 7
flyings 5
foot 1
for 2
force 2
former 2
free 1
friend 1
from 6
fuel 1
garet 3
gateways 1
get 1
give 1
gives 1
giving 1
go 2
grandfather 1
grant 1
greek 1
grow 1
hand 1
have 1
he 15
heal 1
heavy 1
her 1
high 1
him 10
himself 1
hires 1
his 12
hold 1
home 4
hopes 1
hoping 1
hot 1
however 3
human 2
humans 2
in 14
indoor 1
inside 1
instead 1
intends 1
into 4
is 13
it 6
joined 1
joins 1
keep 1
kills 2
kitten 15
knew 1
knife 1
lan 13
large 1
larger 1
last 2
leader 1
leading 1
leaving 1
lets 1
light 5
listen 1
literally 1
lives 1
living 2
lord 5
love 2
lowdensity 1
made 1
magical 2
main 2
makes 1
making 1
male 1
man 1
manages 2
many 1
march 1
mirror 4
mirrored 2
modern 1
moments 1
most 3
mount 1
moving 1
much 1
must 5
mysterious 1
named 1
napalm 1
nature 1
nearby 1
needed 1
new 2
no 2
not 1
novel 2
now 1
nude 1
objects 1
of 23
off 3
offers 3
older 1
on 2
once 2
one 3
only 5
onto 3
open 1
or 2
order 1
organize 1
organized 1
other 5
otherworldly 1
out 4
over 2
own 2
owner 1
pairs 1
pass 2
people 2
plumbing 1
poisoned 1
portal 1
possibly 1
power 1
powerful 1
prepare 1
prisoner 1
problem 1
process 2
protagonist 1
pulls 1
purging 1
push 1
qualified 1
quo 1
raiding 1
rays 1
reach 2
realizes 1
realizing 1
really 1
reappears 1
reflect 1
reflected 1
reflection 1
refrain 1
refuse 1
refuses 1
remains 2
rescue 1
return 5
reveals 4
revive 1
ride 1
room 1
roughly 1
sailing 1
same 2
saying 1
score 1
second 1
secret 5
see 3
seem 1
sees 1
self 1
sell 2
serve 1
set 2
settle 1
several 3
shoki 2
shop 2
shopkeep 2
shortly 1
should 1
side 1
sides 1
sight 1
similar 1
simply 2
slowly 1
sneak 1
sold 1
soldiers 1
soon 4
specific 1
status 1
stepping 1
stick 1
still 1
stones 1
strike 1
stripped 1
such 3
sun 5
sunlight 6
sunny 2
swimming 1
sword 5
swords 1
take 3
taken 1
takes 2
taking 3
teenager 1
tell 1
than 2
that 16
the 114
their 8
them 7
then 3
there 2
these 1
they 14
thing 1
things 1
third 1
this 3
thousand 1
three 3
threshold 1
through 5
time 1
to 52
too 1
tower 8
towers 1
trader 1
traders 4
trapped 1
trials 1
tries 1
trio 1
true 10
trying 1
turned 1
turns 1
two 1
unintentionally 1
unofficial 1
unspoke 1
until 1
unwilling 1
up 2
use 1
used 2
uses 2
using 1
version 1
very 1
war 1
was 2
water 1
way 1
weapon 1
weapons 1
well 1
werewolves 1
where 4
which 1
while 3
who 4
whole 1
whom 1
wielder 1
wife 1
will 1
winds 1
winger 2
wingers 10
wings 2
wiping 1
wish 1
with 8
without 1
world 10
worlds 1
wounded 1
young 1
younger 1
