7137592
/m/0h65hf
/m/0h65hf
Walter Scott
1821-12
{"/m/0hwxm": "Historical novel"}
a 31
abandoned 1
aberration 1
accompanied 1
acts 1
admitted 1
advised 1
after 6
against 2
aid 2
aisle 1
all 2
allow 1
allowed 1
also 1
amused 1
an 2
and 52
announced 1
another 1
appeared 2
appointment 1
arranging 1
arrival 1
arrive 1
arrived 2
as 11
ascertain 1
ashore 2
assuring 1
at 11
atone 1
attachment 1
attempt 1
away 1
bard 2
be 2
beach 1
became 2
bed 1
been 7
begged 1
begging 1
behaviour 1
being 2
believe 1
bidden 1
boat 1
brenda 7
brig 1
brooding 1
brought 1
bunce 4
but 6
by 10
called 1
captain 7
capture 2
captured 1
career 1
carried 2
cast 1
cathedral 1
cause 1
caused 1
cease 1
ceremony 1
charge 1
cheer 1
child 1
chosen 1
civility 1
claud 1
cleveland 12
clinging 1
coast 1
cold 1
come 1
commanded 1
communicated 1
communications 1
companion 1
companions 1
condition 1
confess 1
confined 1
consoled 1
consort 3
consulted 1
containing 1
conveyed 1
convinced 1
could 2
course 1
cousin 1
crew 2
crimson 2
cure 1
curing 1
daughters 2
day 2
daybreak 1
death 1
declared 2
delaying 1
departure 1
dependents 1
desperate 1
did 2
died 1
disappearing 1
discarded 1
discontinued 1
discover 1
disguised 1
done 1
drowning 1
dryden 1
during 2
dwelling 1
earls 1
early 1
earned 1
elder 1
elicit 1
encountered 1
endeavoured 1
enter 1
entertainment 1
escaped 1
escorted 1
especially 1
esteem 1
eve 1
evening 2
expected 1
expecting 1
expressed 1
fact 1
fairies 1
falling 1
family 1
farewell 1
farmhouse 1
father 5
favourite 1
fear 1
feast 1
felt 1
figure 1
fit 1
following 1
foot 1
for 10
former 1
found 1
friendly 1
from 9
further 1
general 1
goodwill 1
greeting 1
grief 1
groan 1
guest 1
habits 1
had 22
halcro 2
halcyon 1
hand 1
harfra 1
hastened 1
have 1
having 5
he 20
heard 2
hearing 1
help 1
henceforth 1
her 16
here 1
hero 1
him 14
his 29
hitherto 1
home 1
hopes 1
hostage 1
however 1
hoy 1
imagined 2
in 18
inhabitants 1
inquiry 1
intention 1
interview 1
intimated 1
islands 1
it 2
jarlshof 1
john 3
join 1
joined 2
keep 1
king 1
kinsman 1
kirkwall 3
know 1
land 1
lapse 1
last 2
leading 1
league 1
leave 1
led 1
letter 1
lieutenant 2
life 3
long 1
lost 1
love 3
lover 2
lovers 2
made 2
magnus 3
mansion 1
martyr 1
masquer 1
meet 1
melancholy 1
mercy 1
mertoun 2
met 2
mind 1
minna 7
misdeeds 1
misgivings 1
mordaunt 12
more 1
morning 1
mother 1
mr 1
mystic 1
name 2
narrated 1
next 2
night 1
norna 10
not 6
note 1
now 2
obligation 1
obtained 1
occasioned 1
of 33
off 1
old 2
on 8
once 2
only 1
orkney 2
other 1
over 1
overcome 1
own 1
pardon 1
partiality 1
party 2
peculiar 1
pedlar 2
penitent 2
penurious 1
persuaded 1
pillaged 1
pirate 5
piratical 1
plank 1
poetry 1
possess 1
powers 1
predicted 1
presence 1
preserver 1
pretensions 1
prevented 1
prisoners 1
proceed 1
promised 1
property 1
protection 1
provost 1
quenched 1
quit 1
ready 1
real 1
reception 1
recovering 1
relative 2
released 1
remained 1
remaining 1
reminiscences 1
remorse 1
replied 1
rescue 1
rescued 1
resided 1
residence 1
resistance 1
resolved 1
respecting 1
resumed 1
retired 1
risk 1
rivals 1
rocky 1
room 2
rooms 1
safely 1
sailing 1
same 1
save 1
saved 1
saw 1
seachest 1
secluded 2
secret 1
see 1
seek 1
seized 2
sent 2
serenaded 1
service 1
several 2
shadow 1
she 13
shelter 1
ship 6
shortly 1
shoulder 1
shoulders 1
sister 3
sisters 2
slight 1
snailsfoot 1
so 2
some 2
son 3
sought 2
spanish 1
spoken 1
st 2
stabbed 1
standing 1
starting 1
startling 1
stenness 1
still 2
stones 1
stores 1
storm 1
strange 1
stranger 2
strangers 1
stromness 1
struggle 1
supernatural 2
supplanted 1
supposed 1
suspense 1
take 1
taking 1
tale 1
talked 1
that 14
the 68
their 14
them 3
then 1
they 8
this 2
thither 2
thus 1
tidings 1
till 1
to 37
told 2
touched 1
trace 1
trained 1
transferred 1
trip 2
troil 3
troils 2
udaller 3
under 1
uninvited 1
unkindly 1
upon 1
vaughan 1
very 1
visit 2
warned 2
was 13
washed 1
way 4
ways 1
weeks 1
went 1
were 10
whale 1
when 3
whence 1
where 3
whether 1
which 7
while 2
whither 1
who 2
whom 1
whose 1
wife 2
window 1
with 15
witnessed 1
won 1
would 3
wound 1
wrecked 1
years 1
yellowley 1
yellowleys 1
youth 1
