12412628
/m/02w48vp
/m/02w48vp
Rex Stout
1964-10-22
{"/m/02n4kr": "Mystery", "/m/028v3": "Detective fiction", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
138 1
164 1
26 2
845 1
a 20
about 2
academic 1
achieved 1
act 1
actually 1
administration 1
admits 1
after 1
against 2
age 2
aged 1
agrees 2
alibi 2
all 1
allowed 1
allows 1
already 1
also 3
an 4
and 14
another 2
answered 1
anthropologist 1
apartment 3
apparent 1
apparently 1
archie 7
are 1
arranges 1
arrested 1
arrived 1
as 5
asking 1
at 6
atmosphere 1
attendant 1
ault 1
back 1
background 2
be 1
because 3
become 1
becomes 1
becoming 1
been 2
before 5
beginning 1
behalf 1
being 2
believe 1
beth 1
bigots 1
black 4
blacks 1
book 1
boyfriend 1
break 1
brings 1
brooke 5
brutally 1
but 9
by 3
calls 2
can 1
cannot 1
car 2
case 2
cass 1
character 2
characters 1
checking 1
citizens 2
civil 3
claims 1
clears 1
come 1
comes 1
committee 2
complicate 1
concept 1
conclusion 1
confesses 1
conflict 1
confronted 1
consider 1
cooks 2
could 2
counsel 1
couples 1
coworkers 1
day 2
days 1
dead 2
dealer 1
debt 1
denying 1
destroying 1
did 1
die 1
diphthong 1
discovers 2
dislike 1
do 4
doing 1
dolly 3
down 1
draw 1
dream 1
dunbar 6
during 1
earlier 3
elects 1
emerges 1
endanger 1
engaged 2
evansville 1
even 1
evidence 1
except 1
faison 1
fall 1
family 2
favor 1
firm 1
first 1
fly 1
focuses 1
for 6
form 1
found 1
founder 1
frequency 1
from 3
front 1
gained 1
garage 1
get 1
gets 1
girl 2
girlfriend 2
girls 1
give 1
goodwin 1
guilt 1
had 2
harlem 1
harold 1
has 7
have 2
he 14
henchly 1
her 13
hero 1
him 5
himself 1
his 8
hometown 1
hour 1
however 1
if 1
immediate 1
in 17
incident 1
include 1
indiana 1
indicates 1
information 2
instant 1
interest 1
interested 1
interfere 1
interview 2
interviewed 2
interviewing 1
investigation 1
involved 1
involvement 1
is 15
it 7
johnson 1
jordan 1
kallmann 1
key 2
kink 1
knock 1
later 1
lawyer 1
lead 1
learn 1
least 2
lied 2
lies 1
lily 1
little 1
loath 1
long 1
love 2
lucky 1
man 2
many 2
marry 1
marrying 1
material 1
matter 1
matters 1
maud 1
may 1
meeting 1
men 1
mentioned 1
middleaged 1
midwest 1
miraculously 1
mixedrace 1
more 2
motivations 1
motives 1
mrs 1
much 1
multiple 1
murder 3
murdered 1
mystery 1
named 1
names 1
negro 1
nero 2
never 2
new 2
next 1
night 1
no 1
not 6
noticed 1
novel 4
objections 1
oddity 1
of 13
office 1
on 8
one 1
only 1
opposed 1
or 1
organization 2
oster 1
out 1
over 1
owes 1
own 1
panzer 1
particularly 1
paul 6
place 1
players 1
police 2
poor 1
porch 1
preferring 1
prejudice 1
prevent 2
prime 1
principle 1
problematic 1
prove 1
racine 1
racism 1
rae 1
real 1
realizes 1
recurring 1
refuses 1
remained 1
research 2
rex 1
rich 3
richard 1
riddled 1
right 1
rights 5
rocc 2
rowan 1
same 1
saul 1
saw 1
sensible 1
set 1
settle 1
several 1
she 5
shot 2
since 2
sisterinlaw 1
socialite 1
solved 1
some 2
son 1
source 1
stated 1
stenographer 1
story 1
stout 2
street 1
strong 1
stumble 1
suddenly 1
superior 1
susan 11
suspect 1
take 3
takes 2
tell 1
telling 1
testify 1
that 16
the 45
their 1
them 1
they 2
thinks 1
this 5
thomas 1
those 2
through 1
tiger 1
time 2
times 1
to 32
too 2
took 1
trip 1
true 1
trust 1
turned 1
two 1
twoway 1
unable 1
underway 1
unusual 1
up 1
upon 2
use 2
vaughan 4
vaughn 1
virginia 1
vitriolic 1
volunteers 1
wanted 1
was 5
went 2
west 1
what 1
when 3
where 1
while 1
whipple 10
white 5
whites 1
who 4
whom 1
whose 1
why 1
will 1
wisconsin 1
with 5
witness 1
witnesses 1
wolfe 15
work 1
working 1
would 3
years 2
york 2
young 1
