34801976
/m/0j3d1rv
/m/0j3d1rv
Sergio Troncoso
2011-09
{"/m/05hgj": "Novel"}
2001 1
a 6
about 1
accepted 1
adapt 1
adult 1
all 1
always 1
america 1
american 1
and 12
apart 1
apartment 1
as 4
backdrop 1
be 1
become 1
becomes 1
begins 1
between 2
bitter 1
bitterness 1
bookworm 1
border 1
boysmarcos 1
buildings 1
but 3
by 1
catholicism 1
central 1
cheap 1
children 2
city 1
class 1
clings 1
conflicts 1
converts 1
core 1
cuauhtemoc 1
cultural 1
culture 1
daughter 1
decades 1
deep 1
disenchanted 1
dreams 1
drugs 1
dust 1
el 1
enough 1
erupt 1
events 1
eventually 1
fail 1
family 4
familys 2
fathers 1
feels 1
forsake 1
four 2
francisco 1
franciscotoil 1
from 1
fuel 1
gangs 1
hardscrabble 1
harvard 1
he 1
health 1
her 2
himself 1
his 1
historic 1
history 1
hold 2
home 1
husbands 1
idea 1
immigrants 1
in 5
is 2
islam 1
ismael 1
isolates 1
it 2
its 1
jewish 1
julieta 1
labor 1
leaves 1
marcos 1
marriage 1
marries 1
martinez 1
meets 1
mexican 1
middle 1
neighborhood 1
new 2
newly 1
northeast 1
novel 1
of 6
old 1
onceshared 1
origins 1
other 1
out 1
over 1
paso 1
patch 1
physical 1
pilar 2
place 1
reject 1
religion 1
remain 1
returns 1
rise 1
send 1
serving 1
shaken 1
shantytown 1
shared 1
shockwaves 1
siblings 1
son 1
soon 1
spaces 1
spans 1
strive 1
struggle 1
struggling 1
survive 1
teach 1
teacher 1
tear 1
texas 1
the 13
their 6
them 3
then 1
this 3
threaten 1
through 2
time 1
to 17
together 3
traditional 1
travels 1
tries 1
unite 1
where 1
which 1
wicked 1
will 1
with 2
woman 1
work 1
york 1
young 1
youngest 1
ysleta 2
