13251064
/m/03b_bff
/m/03b_bff
Christie Golden
1991
a 8
about 1
access 1
affliction 1
afraid 1
after 1
ageless 1
all 1
an 3
and 6
anna 6
answers 1
any 1
as 6
asks 1
asylum 1
at 2
attempts 1
bands 1
barovia 2
be 2
become 1
before 1
befriending 1
begins 1
being 1
blood 1
book 1
brother 1
but 1
by 2
castle 1
cleric 1
concerns 1
count 1
cycle 1
damage 1
death 1
demiplane 2
despite 1
discovers 1
dread 1
drink 1
drove 1
elf 1
end 2
entered 1
escaped 1
every 1
extended 1
fail 1
falls 1
family 1
final 1
for 3
forces 1
fortune 1
fortuneteller 1
further 1
good 1
gypsy 1
has 1
he 4
healing 1
her 6
herself 1
him 2
his 5
hospital 1
hundred 1
ill 1
immortal 1
in 9
increased 1
inflict 1
inmate 1
into 3
introduces 1
is 1
it 1
jander 8
killing 1
kills 1
knew 1
knowledge 1
last 2
later 1
least 1
life 1
limiting 1
local 1
long 1
losing 1
lost 1
love 1
made 1
mental 1
mind 2
moments 1
more 2
multiple 1
murder 1
occupant 1
of 10
on 2
one 1
own 2
patients 1
period 1
possible 1
power 1
predictions 1
prevented 1
process 1
prove 1
rage 1
refuses 1
regularly 1
remain 1
ruined 1
seems 1
sergei 1
severe 1
she 2
shocked 1
similarly 1
so 1
sometimes 1
somewhat 1
speed 1
spellcaster 1
spent 1
story 1
strahd 5
succeeded 1
sunlight 1
sunstar 1
tatyana 1
that 2
the 18
there 2
thereby 1
they 2
thief 1
though 1
time 2
to 13
together 1
told 1
transported 1
tries 1
trip 1
true 1
truth 1
turn 1
vampire 3
very 1
visits 1
vistani 1
von 1
walks 1
was 1
waterdeep 1
ways 1
what 1
when 2
which 1
who 3
wife 1
with 3
woman 2
years 1
young 1
zarovich 1
