11569757
/m/02rjj44
/m/02rjj44
Robert Wilson
2003
a 2
about 1
acclaimed 1
also 1
an 2
and 3
artist 1
being 1
bring 1
brink 1
by 1
cause 1
concerns 1
deceased 1
diary 1
during 1
emotional 1
entries 1
experiences 1
falcon 3
father 3
fought 1
from 1
him 2
his 3
in 3
into 1
investigations 1
is 1
lead 1
life 1
look 1
murders 2
novel 2
of 3
past 1
penned 1
perspective 1
present 1
protagonist 1
revelations 1
second 1
series 2
seville 1
shady 1
shocking 1
structure 1
the 5
these 1
through 1
to 3
told 1
turn 1
unearth 1
unusual 1
vicious 1
war 1
wartime 1
who 1
world 1
