30012820
/m/026hjn7
/m/026hjn7
Robin Cook
2000
18th 1
200 1
a 5
abducted 1
abductees 1
about 1
abruptly 1
actually 1
advanced 3
ago 1
alerting 1
allow 1
an 3
ancient 1
and 8
andor 1
are 1
as 1
at 1
atlantic 1
attempt 1
be 1
became 1
become 1
been 1
bombarded 1
cannot 1
centuries 1
century 1
city 1
civilization 1
civilizations 1
comfortably 1
cousins 1
craft 2
crust 1
current 1
decided 1
determine 1
developed 1
discontinuity 2
discover 1
discovered 1
discovers 1
discovery 1
doing 1
drawn 1
earth 2
effectively 1
emerge 1
enclosed 1
encounter 1
engineered 1
ever 1
evolved 2
exploration 1
extinction 1
extrasolar 1
fearing 1
feel 1
find 1
first 2
for 2
from 2
generation 2
genetically 1
geologic 1
group 1
had 1
has 1
hordes 1
however 1
humans 5
if 1
in 5
inexplicably 1
inside 1
instead 2
into 2
is 1
its 1
large 1
last 1
late 1
living 2
machine 1
manages 1
many 1
meteors 1
millions 2
moho 2
mohodwellers 3
mohodwelling 1
mohorovii 2
moment 1
mounts 1
move 2
nearperfect 1
nobody 1
ocean 1
of 10
on 1
over 1
own 1
past 1
physically 1
planet 2
presence 1
prevent 1
prior 1
recover 1
region 1
remote 1
research 2
researchers 5
return 2
reveal 2
safety 1
searching 1
secondgeneration 1
sent 1
shielding 1
some 1
sort 1
spacecraft 1
sterilizing 1
submersible 2
suitable 1
surface 6
team 2
technologically 2
that 7
the 28
their 5
them 3
themselves 1
there 1
these 2
they 5
thought 1
time 2
to 15
told 1
trapped 1
unable 1
under 1
undersea 1
very 1
volcano 1
was 2
watched 1
were 2
when 1
with 1
within 1
world 2
years 3
