180441
/m/018ms_
/m/018ms_
Nancy Mitford

14 1
160 1
20 1
a 26
about 2
accepts 1
according 1
acknowledge 1
activities 1
adores 1
advantage 2
affairs 3
affection 3
affections 1
after 4
alfred 2
all 3
allied 1
aloof 1
also 1
ambiguous 1
amongst 1
an 5
and 42
anxiety 1
any 1
apparent 1
appearance 1
are 1
aristocracy 3
aristocratic 2
arranged 1
as 10
at 2
attention 1
attentions 1
aunt 2
avaricious 1
aware 1
away 1
bachelors 1
be 2
bearing 1
beautiful 4
beauty 1
becomes 1
been 2
behaviour 1
between 1
birth 2
books 1
boring 1
born 1
both 1
boy 9
broader 1
but 5
by 5
came 1
career 1
careful 1
carried 1
cast 1
causing 1
cedric 12
characters 1
charm 3
child 2
childhood 1
children 1
circle 2
circles 2
climate 4
close 1
cold 5
colonial 1
come 1
common 2
companion 1
complex 1
conservative 1
consistently 1
contact 1
contained 1
country 2
coup 1
cousin 1
cousins 3
currently 1
daughter 2
death 1
debutante 1
deeply 1
demonstrates 1
depicted 1
dies 1
different 1
difficult 1
diminished 1
distantly 1
distressing 1
do 2
dont 1
dougdale 1
duke 2
each 1
earl 2
elderly 2
eligible 1
enable 1
encourages 1
entailed 1
establish 2
european 1
everything 1
exasperated 1
exceptional 1
excluded 1
expected 2
fall 1
family 5
fanny 21
father 2
favour 1
feelings 1
felt 1
fictional 3
filled 1
find 1
finding 1
flattery 1
flowers 1
focus 1
focuses 1
for 5
formidable 1
fortune 1
forward 1
found 1
frame 1
france 1
free 1
friends 1
friendship 1
from 6
further 1
furtive 1
general 1
girls 1
giving 1
good 2
great 1
greedy 1
hampton 3
happiness 1
has 10
have 4
he 1
heavily 1
heir 1
her 36
herself 2
his 10
homosexual 1
hoping 2
hostess 2
house 1
household 1
however 1
husband 3
impeccable 1
important 3
in 28
inappropriate 1
india 5
indifference 1
influence 1
informant 1
innate 1
insight 1
interest 3
interested 1
into 1
invitation 2
involved 1
is 27
issues 1
it 1
its 1
joke 1
knowledge 1
known 1
lack 1
lady 10
large 1
lavishes 1
leading 1
leaving 1
lecherous 2
lecturer 1
leopoldina 1
less 2
life 2
linda 1
little 1
lived 1
london 2
long 1
looks 1
lord 4
loses 1
loss 1
love 13
lover 3
loves 1
luxurious 1
luxury 1
make 1
makes 1
manipulator 1
many 3
marriage 6
married 1
marries 1
matters 1
mature 1
meet 1
meets 1
member 1
men 2
milieu 1
minded 1
minor 2
mix 1
montdore 15
montdores 3
more 1
mother 1
move 1
named 1
narrates 2
narrator 2
natural 1
neither 1
no 2
nor 1
not 2
notes 1
nova 1
novel 1
of 36
off 2
older 1
on 2
one 2
only 1
origins 1
ostracised 1
others 1
out 3
outcome 1
own 2
paddington 1
parents 2
part 1
particular 1
paternal 1
patricia 1
pedophile 1
people 1
perfect 1
perfectly 1
personal 2
personality 1
pick 1
place 2
pleased 1
political 1
polly 27
popularity 1
potential 1
pregnant 2
product 1
pursuit 3
quarter 1
radlett 3
ranks 1
rapacious 1
readers 2
receives 1
reconciles 1
recovers 1
reestablish 1
regarded 1
regular 1
regularly 1
rekindle 1
related 1
remains 1
reputation 1
result 1
reticence 1
return 1
returns 1
reunion 1
revealing 1
reveals 2
revive 1
rich 2
riches 1
same 1
scandal 1
scotia 1
season 2
see 1
self 1
sent 1
sequel 1
set 1
several 1
sexually 2
shares 1
she 10
shocks 1
shortly 2
sicily 2
since 2
slightly 1
snob 1
snobbish 1
so 3
social 7
socially 1
society 4
sonia 2
soon 1
sour 1
spending 1
standing 2
story 2
successful 2
such 3
suitors 1
supremely 1
suspected 1
takes 2
taste 1
tell 1
tells 1
tendencies 1
than 2
that 11
the 53
their 3
these 1
they 3
thing 2
this 1
through 1
thrusting 1
time 2
title 3
to 28
told 1
torn 1
total 1
touches 1
towards 1
turned 1
two 1
unbeknown 2
uncle 2
unlike 1
update 1
upon 3
use 1
used 1
uses 1
very 4
viceroy 1
view 1
visit 3
visited 1
visitor 1
volume 1
wardrobe 1
was 1
way 1
well 1
when 2
which 2
while 3
whisks 1
who 3
whole 2
whom 2
widowed 1
wife 2
will 3
win 1
with 7
within 1
without 1
woman 1
women 1
writing 1
years 3
young 2
