13857532
/m/03cldwz
/m/03cldwz
Douglas Preston
1994-10-01
{"/m/01jfsb": "Thriller", "/m/06n90": "Science Fiction", "/m/08sdrw": "Adventure novel"}
170s 1
a 2
american 2
and 2
archibald 2
around 1
asl 1
attached 1
becomes 1
brings 1
but 1
cameroons 1
can 1
chimp 1
chimpanzee 1
converse 1
daughter 1
delivers 1
dr 1
dying 1
eventually 1
extremely 1
family 1
from 1
function 1
her 4
his 2
home 1
hugo 1
humans 1
in 2
interact 1
into 1
is 2
jennie 5
language 1
learning 1
living 1
mother 1
naturalist 1
not 1
of 1
preserve 1
released 1
resents 1
sandy 1
sarah 1
she 1
sign 1
simply 1
son 1
starts 1
the 4
through 1
to 3
where 1
wildlife 1
with 1
young 1
