1845981
/m/060kn1
/m/060kn1
Bernard Cornwell
1986-01-20
{"/m/0hwxm": "Historical novel"}
a 1
also 1
and 3
as 1
battalion 2
be 1
book 2
by 1
caused 1
class 1
during 1
dwindling 1
england 1
essex 2
find 1
first 1
for 1
harper 1
having 1
he 1
his 2
in 5
into 1
involves 2
is 1
justice 1
looking 1
lower 1
men 1
missing 2
napoleonic 1
needs 1
of 1
officer 1
only 1
problems 1
produced 1
recruits 1
regiment 1
reinforce 1
rejoin 1
repeatedly 1
runs 1
second 2
series 2
set 2
sharpe 4
social 1
south 2
spain 1
standing 1
story 1
television 1
the 10
this 2
though 1
to 4
wars 1
was 1
which 1
