13982299
/m/03cq2bn
/m/03cq2bn
Alain Robbe-Grillet
1981-03
a 49
about 2
accident 1
across 1
ad 2
again 1
against 2
agent 1
agents 1
alive 1
all 2
also 1
american 1
amsterdam 2
an 4
and 34
another 1
answers 1
antiindustrial 1
antimachinery 1
anything 1
apartment 1
applicant 1
are 4
arriving 1
as 10
asks 4
assume 2
assumes 2
at 10
attempts 1
authorities 1
awakes 2
babysitter 1
background 1
be 6
become 1
bed 1
been 1
begin 1
being 1
belong 1
blind 3
body 1
boss 1
boy 14
boys 1
break 1
brother 1
building 2
but 2
by 2
cab 3
caf 6
can 2
cane 2
canes 1
cannot 2
caroline 2
carries 1
carry 1
cause 1
changed 1
chapters 1
characters 1
chase 1
children 1
claims 1
closely 1
coat 2
come 1
comes 3
communicate 1
computers 2
contents 1
control 1
corridor 1
counterorganization 1
currently 1
cut 1
dark 4
days 1
dead 2
decides 3
description 1
deserted 2
destination 1
die 1
died 3
dies 1
discovered 1
djinnjean 8
down 1
dream 1
dressed 1
driver 2
drug 1
du 3
each 1
earth 1
employer 3
end 2
epilogue 1
exist 2
existence 1
explain 1
explains 1
fact 1
faints 1
fall 1
falls 1
father 4
feels 1
fidelity 1
fight 1
finally 1
find 1
following 1
for 4
frequently 1
friend 1
friendly 1
from 2
future 1
game 1
gare 3
get 1
girl 2
gives 2
glasses 5
go 2
goes 2
going 2
goose 1
guide 1
guides 1
happened 1
has 5
hat 2
have 1
having 1
he 24
hears 1
help 2
her 9
him 10
his 8
home 1
house 1
however 1
if 2
iii 1
in 13
industrial 2
inside 1
into 6
investigation 1
involving 2
is 28
it 1
jean 7
join 1
joke 1
just 1
kind 1
kinds 1
knocked 1
know 1
knows 1
lady 1
large 1
late 1
lead 1
leads 1
leave 1
leaves 1
lecoeur 2
led 2
letter 1
like 3
listening 1
little 1
longdead 1
looking 1
looks 2
lying 1
machinery 2
made 1
makes 2
man 5
manages 1
manuscript 3
many 1
marie 7
matching 1
mean 1
meant 1
meet 3
meeting 2
meets 2
memory 2
men 1
met 1
miss 1
missing 1
mission 1
mistakes 1
monsieur 1
more 1
move 1
name 1
named 1
narrator 24
nearest 2
needs 1
newspaper 2
next 2
niece 1
no 1
nord 3
nose 1
not 2
nothing 1
notices 3
now 1
of 17
offers 1
on 5
one 2
only 2
opens 1
organization 2
other 7
out 2
own 1
parents 1
parisian 1
park 2
people 1
photograph 1
picture 1
places 1
police 4
possibly 1
potential 3
present 1
pretend 1
pretends 1
proceeds 1
prologue 2
proof 1
reads 1
real 1
reality 1
realizes 1
realizing 1
recording 1
remarks 1
remember 1
report 1
reported 1
responding 1
revealed 3
reveals 1
robots 1
room 1
rue 1
run 1
running 1
russian 3
sailor 3
same 1
scratching 1
sea 3
see 1
seems 1
sees 5
seizure 1
self 1
server 1
several 1
she 21
short 1
shortcut 1
shows 1
simon 6
sinister 1
sister 1
sleep 1
so 1
social 1
some 3
someone 1
something 1
sparks 1
specifications 1
standing 1
start 1
station 4
stops 2
stories 1
story 3
street 2
student 1
subject 1
suggests 1
surveying 1
table 2
take 1
takes 3
tale 1
tape 1
taxi 2
tell 3
tells 2
terrorist 2
than 3
that 23
the 92
their 2
there 4
they 7
this 3
though 1
through 1
time 1
to 39
too 1
town 1
train 5
trips 1
true 1
turns 1
two 2
unable 1
unconscious 1
unsure 1
up 4
vercingetorix 1
verified 1
visions 1
voice 2
wakes 2
walks 1
warns 1
was 1
way 2
we 2
wear 1
wearing 1
well 1
were 2
what 2
when 3
where 5
which 4
while 1
who 8
whom 1
whose 2
wild 1
will 4
with 8
woman 4
working 1
written 1
young 6
