6525384
/m/0g8xh3
/m/0g8xh3
Tony Hillerman
1986
{"/m/02n4kr": "Mystery", "/m/014dfn": "Speculative fiction", "/m/0dwly": "Children's literature", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
a 5
an 1
and 6
are 2
around 1
as 1
assailant 1
assailants 1
attempt 1
balance 1
before 1
between 1
bodies 1
bone 1
but 1
by 1
called 1
cases 1
chee 4
clues 1
conclude 1
different 1
dismiss 1
does 1
down 1
easily 1
except 1
few 1
find 2
firing 1
first 1
folklore 1
for 1
found 2
gets 1
has 1
hateful 1
he 1
his 1
in 5
inductive 1
into 1
involved 1
it 1
jim 1
joe 1
kill 1
killer 1
leads 1
leaphorn 2
lieutenant 1
lives 1
locations 1
man 1
medicine 1
motives 1
murdered 1
mythology 1
navajo 6
no 1
not 1
of 2
officer 1
on 1
or 2
other 1
people 1
pieces 1
place 1
police 1
practicing 1
practitioners 1
reasoning 1
rejects 1
requires 1
reservation 1
risk 1
secular 1
shells 1
shotgun 2
skinwalkers 1
small 1
so 1
solving 1
superstition 1
that 2
the 7
their 1
them 3
this 1
three 1
to 6
track 1
trailer 1
tribal 1
tries 1
unknown 1
used 1
victims 1
were 1
western 1
when 1
whose 1
witchcraft 2
with 1
yataalii 1
