7093297
/m/0h3t8t
/m/0h3t8t
Scott Westerfeld
2005-05-05
{"/m/06n90": "Science Fiction", "/m/0dwly": "Children's literature", "/m/03mfnf": "Young adult literature", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
500 1
a 19
about 2
accompanied 1
accompany 1
adventures 1
after 3
agrees 1
air 2
all 3
altered 1
an 2
and 11
andrew 1
any 1
appears 1
are 3
arrives 1
as 5
asks 1
at 2
ate 1
attending 1
away 1
balloon 2
bash 2
be 5
beauty 2
because 6
become 2
becoming 1
been 2
before 2
begins 1
being 1
believes 1
bemused 1
betrayed 1
big 1
bits 1
board 1
book 3
brain 2
brains 2
brief 1
bubblier 1
bubbly 6
but 2
by 5
calls 1
can 1
carefree 1
caught 2
challenges 1
chip 1
circumstances 2
clique 3
come 2
coming 1
confused 1
considered 1
crashing 1
crims 4
croy 3
cut 1
cutters 1
dangerous 1
david 5
debating 1
decides 3
desired 1
determined 1
didnt 1
disconnected 1
discover 2
discovers 1
disrupted 1
do 3
does 1
dont 1
down 1
dropping 1
during 1
eager 1
eat 1
either 1
ends 1
escape 1
escapes 1
escaping 1
even 1
ever 1
everyday 1
explained 1
extreme 1
face 3
falling 1
falls 1
feet 1
find 1
finding 2
flees 1
followed 1
for 5
forms 1
friend 1
from 2
furious 1
future 1
get 2
getting 1
go 4
goal 1
god 1
goes 1
going 2
had 4
hair 1
hard 1
has 5
he 10
headaches 2
help 1
her 20
here 1
hers 1
herself 1
hidden 1
him 3
himself 1
his 6
hospital 1
hot 1
hover 1
how 1
hurting 1
imperfections 1
in 8
including 1
instead 2
into 5
is 23
it 6
item 1
knife 1
knowing 2
known 2
language 1
later 1
leader 1
leads 1
learn 1
leave 1
lesion 1
lesions 2
letter 2
life 1
like 1
lived 1
locate 1
loved 1
loves 1
maddy 1
main 1
make 3
makes 1
meant 1
meanwhile 1
meets 1
member 1
message 1
minute 1
more 2
must 2
nanos 1
needed 1
new 5
not 2
object 1
of 10
office 1
old 1
on 2
once 1
one 2
only 4
or 1
order 1
out 1
peace 1
people 1
peris 1
person 2
physical 1
pill 2
pills 5
pores 1
pretties 3
pretty 6
primitive 1
protagonist 1
put 1
questions 1
rather 1
read 1
really 2
regrets 1
remember 1
remembered 1
repellent 1
reservation 2
rest 1
result 1
returns 1
rink 1
risk 1
river 1
ruins 1
rusty 1
saying 1
search 1
seem 1
sees 1
self 1
sent 1
separately 1
share 1
shay 7
she 26
shocked 1
showing 1
simpson 1
skating 1
smith 1
smoke 7
so 1
someone 2
something 2
soon 1
speaks 1
special 6
specials 3
stalking 1
stalls 1
stay 3
staying 1
stays 1
stop 1
strenuous 1
stupidest 1
such 1
suffering 1
supposed 1
surgery 3
surprised 1
take 2
taken 1
taking 2
tally 16
tangled 1
tasks 1
tells 4
than 2
that 16
the 51
their 2
them 1
themselves 2
then 1
there 3
they 8
things 1
thinking 1
this 3
tissue 1
to 42
together 1
told 1
took 2
tooth 1
torture 1
tracker 1
transforms 1
try 1
turned 1
ugliness 1
ugly 2
under 1
use 1
very 1
violent 1
voted 1
want 1
wanted 1
was 1
wear 1
went 2
were 2
what 1
when 7
which 4
while 2
who 9
whom 1
why 2
wilderness 1
will 1
with 9
word 1
written 1
youre 1
zane 10
zanes 1
