2006133
/m/05kddym
/m/05kddym
Hampton Sides
2001
121 1
145 1
513 1
a 5
abuse 1
accounts 1
alerted 1
allied 1
american 1
and 6
as 2
assistance 1
at 1
background 1
bataan 1
cabanatuan 2
camp 3
city 1
commanders 1
conditions 2
consequence 1
danger 1
death 1
deplorable 1
detailed 1
diseases 1
events 1
executed 1
execution 1
executions 1
filipino 1
for 1
from 4
ghost 2
guerrillas 1
had 1
heroic 1
historical 1
in 3
january 1
japanese 3
late 1
leading 1
lived 1
march 1
mass 1
massacre 1
mission 1
near 1
of 9
out 1
over 1
palawan 1
perform 1
performing 1
philippine 1
philippines 1
planned 1
planning 1
pow 1
pows 1
prison 1
prisoner 1
prisoners 3
provided 1
provides 1
raid 2
ranger 2
recounts 1
remnants 1
rescue 3
retreated 1
set 1
soldiers 4
starvation 1
story 1
successful 1
suffering 1
survive 1
the 17
they 1
three 1
to 6
tropical 1
unit 1
us 1
volunteers 1
war 1
who 1
will 1
years 1
