6423638
/m/0g4tbr
/m/0g4tbr
Muriel Spark
2000-07-26
134 1
174 1
a 3
actual 1
africa 1
an 2
and 4
as 1
be 1
beate 1
by 2
central 1
chapters 1
characters 1
claims 1
coincidences 1
comical 1
committed 1
continues 1
daughter 1
did 1
disconcerting 1
dust 1
each 1
earl 1
english 1
episodes 1
evelyn 1
event 1
evils 1
figure 1
final 1
for 1
fraudulent 1
from 1
handful 1
happiness 1
has 1
he 1
her 1
hildegarde 1
his 2
humorous 1
improbabilities 1
in 7
intend 1
is 1
killed 1
late 1
london 1
lord 1
lucan 1
mentor 1
mistaking 1
model 1
murder 1
nanny 1
ne 1
novel 2
of 3
pappenheim 1
paris 1
patients 1
premise 1
present 1
proceeds 1
psychiatrist 1
recall 1
reconciliations 1
result 1
secondary 1
series 1
she 1
sometime 1
spark 1
the 6
this 1
to 3
two 1
waugh 1
who 1
whom 2
wife 1
wolf 2
working 1
