3752927
/m/09z433
/m/09z433
Doris Lessing
1980
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
13 1
a 14
abandon 1
abandons 1
about 2
accelerates 1
accidents 1
adapted 1
administrator 1
advanced 1
afflicted 1
agrees 1
all 2
allegorical 1
almost 1
also 4
altogether 1
ambien 8
an 3
and 23
another 1
are 2
as 5
at 2
attached 1
attempt 1
authenticity 1
barring 1
became 1
become 1
begins 1
better 1
biosociological 1
book 1
bourgeoning 1
breaks 1
broken 1
but 6
by 2
called 1
came 1
can 1
canopean 4
canopus 11
captured 1
centred 1
citizens 1
civilisations 1
colonial 2
colonise 1
colonised 2
come 1
commander 1
communities 1
competitor 1
conquest 1
continents 2
continue 1
corrective 1
correctly 1
corrupting 1
corruption 1
cosmic 1
costly 1
could 1
debilitating 1
decline 1
degeneration 1
denying 1
did 1
do 2
does 1
eager 1
earth 1
effectively 1
elsewhere 1
embarked 1
empire 6
encounters 1
encroached 1
enemy 2
error 1
events 1
eventually 1
everything 1
evil 1
evolution 1
evolves 1
exile 1
exist 1
existentials 1
experiments 2
explain 1
exploiting 1
feeling 1
five 5
for 2
former 2
foster 1
from 2
gave 1
genetic 1
gesture 1
give 1
go 1
govern 1
happened 1
harmony 1
has 3
hear 2
help 2
her 4
herself 1
his 1
humanoids 1
ii 8
immortal 1
in 8
indigenous 1
initially 1
interpret 1
invited 1
invites 1
is 4
issues 1
it 2
its 1
jointly 1
just 1
keeps 1
klorathy 3
large 1
later 1
learn 1
led 1
left 1
links 1
little 1
lock 3
machines 1
made 1
make 1
malady 1
malicious 1
many 2
meet 1
meets 1
more 1
motion 1
nasar 1
natives 1
nearly 1
new 1
no 1
north 2
northern 1
not 2
numbers 1
nurtures 1
observe 1
of 12
official 1
on 8
one 2
overcome 1
overrun 1
partner 1
people 2
planet 7
planets 2
point 1
price 1
primitive 1
problem 1
progress 1
promising 1
put 1
puttiora 1
question 1
rather 1
realignment 1
reason 1
reconciliation 1
refer 1
relations 1
releases 1
renames 1
report 2
reports 1
represents 1
requests 1
returned 1
rohanda 11
run 1
saying 2
seeing 3
send 1
senior 1
series 1
service 1
sets 1
several 1
shammat 4
she 9
shikasta 1
sirian 6
sirians 1
sirius 9
situation 1
something 1
sophisticated 1
south 1
southern 1
space 1
spacelifted 1
star 1
statement 1
strength 1
stricken 1
succumbs 1
superior 1
suspicious 1
system 1
tafta 1
technology 2
territory 3
than 1
that 5
the 34
their 5
them 4
then 2
there 1
they 5
this 3
ties 1
time 2
times 1
to 24
too 1
took 1
tries 1
troubles 1
unable 1
unconcerned 1
unforeseen 1
updated 1
want 1
war 1
warming 1
was 1
watch 1
ways 1
what 4
when 3
where 1
which 1
while 1
who 1
with 5
won 1
work 3
working 1
worthless 1
write 1
