2833953
/m/085p6k
/m/085p6k
Charles Major
1902
1567 1
1st 1
35yearold 1
a 18
abdicate 1
able 1
about 1
accompany 1
adolescent 1
affairs 1
affections 1
again 1
aided 2
aiding 1
all 2
allegiance 2
allowing 1
already 1
also 2
amusing 1
an 2
and 40
any 1
apologizes 1
are 2
arrange 1
arrangements 1
arrest 2
arrested 1
arrive 1
arrives 1
as 10
at 7
attempts 4
attracted 1
aunt 2
await 1
away 1
awkward 1
be 3
beautiful 1
beauty 1
became 1
becomes 2
bedroom 1
been 1
before 2
begin 1
begun 1
being 1
belongings 1
betrays 1
bid 1
blow 1
book 1
brings 1
but 7
by 7
can 1
capture 1
captured 1
carriage 1
carries 1
catching 1
causing 1
chapter 2
close 1
company 1
conspiracy 1
contract 1
contrast 1
court 1
cousin 2
crazed 1
crucial 1
daughter 1
day 1
days 1
de 1
decides 1
derby 2
despite 2
develop 1
disguise 1
disguises 1
distraught 1
does 1
dont 1
dorothy 22
dramatic 1
dudley 1
dungeon 2
during 2
each 2
earl 5
earlier 1
eavesdropping 1
elements 1
elizabeth 7
elope 1
embarrassing 1
enamored 1
encounters 1
ends 1
enemy 1
engaged 1
england 4
equipped 1
escape 3
escapes 1
estate 2
exhausted 1
exonerates 1
extended 1
fails 4
fall 1
farewell 1
father 10
favorite 1
few 1
final 1
finds 1
first 1
flees 1
followed 1
for 6
forced 1
forgiving 1
forty 1
france 5
franois 1
free 3
friend 1
friends 1
from 2
furious 1
gain 1
gathers 1
george 7
get 1
glimpses 1
go 1
good 1
had 3
haddon 7
hall 8
hanged 1
has 1
hated 1
having 1
he 10
head 2
heads 1
held 1
help 1
her 23
herself 2
hidden 1
him 9
himself 2
his 14
historically 1
home 1
honor 1
hope 1
household 1
humiliates 1
identity 1
if 2
immediately 1
imprisoned 3
in 15
include 1
instantly 1
instead 1
interest 1
into 1
is 9
jealousy 1
job 1
john 15
joins 1
july 1
jumps 1
keep 1
kill 1
kiss 1
knowing 1
lastminute 1
later 2
leave 2
leaves 2
leicester 3
letting 1
literally 1
live 1
location 1
lord 5
lorraine 1
love 1
lover 1
madge 5
make 1
makes 1
malcolm 14
malcom 1
male 1
manages 2
manners 4
marriage 1
marry 3
mary 13
mature 1
may 1
meanwhile 1
meet 1
meets 1
met 1
might 1
minutes 1
move 1
named 1
narrated 1
next 1
no 1
not 1
novel 3
now 1
nurse 1
oafish 1
of 23
off 1
on 3
only 1
orders 1
other 2
out 2
part 2
party 1
passport 1
period 1
place 1
plan 1
planned 1
prepares 1
presses 1
previous 1
progresses 1
promises 1
properties 1
prove 1
provided 1
publicly 1
quarrels 1
queen 13
raised 1
ratify 1
realizes 1
receives 1
recognize 3
redheaded 1
refuge 2
regain 1
remarks 1
remorsestricken 1
resulting 1
return 1
returns 1
reveal 1
reveals 2
robert 1
romance 2
romantic 1
rouses 1
ruining 1
ruse 1
rutland 5
scotland 3
scots 1
scottish 1
secret 2
seductive 1
see 2
sees 1
servant 1
set 1
shares 1
she 8
sir 6
sleeping 1
so 1
soldiers 1
some 1
son 3
speaking 3
spend 1
stanlys 2
staying 1
steal 1
still 1
story 1
stranger 1
strike 1
strongwilled 2
struck 1
subsequently 1
suggested 1
supposedly 1
suspected 1
take 1
takes 2
tells 3
that 5
the 38
them 1
then 2
there 1
they 5
thinking 1
this 2
thomas 1
throne 2
time 3
to 49
too 1
tricks 1
trip 1
troop 1
troops 1
tube 1
unable 1
uncertainty 1
unconscious 1
until 1
various 1
vernon 3
vernons 1
visit 1
was 2
way 4
well 1
when 3
where 2
which 2
who 4
whom 1
wife 2
will 3
with 8
woman 1
word 1
years 2
youth 1
