67838
/m/0hsz9
/m/0hsz9
Louise Fitzhugh
1964
{"/m/06wkf": "Spy fiction", "/m/0dwly": "Children's literature", "/m/02xlf": "Fiction"}
1 1
2 1
a 14
about 4
aboutface 1
abruptly 1
accepted 1
adamantly 1
after 1
afternoon 1
all 2
also 1
amends 1
an 6
and 26
anyone 2
apologize 1
appalled 1
appointed 1
are 5
around 1
as 6
aspires 1
aspiring 2
astonishing 1
at 2
attempts 1
attend 1
back 1
be 1
because 1
become 1
being 1
believes 1
best 2
bossed 1
both 1
boy 1
but 1
by 3
calling 1
cant 1
care 1
career 2
carefully 1
catcher 3
changed 1
city 1
clandestinely 1
class 3
classmates 3
close 1
club 5
compares 1
concocts 1
confiscate 1
consequences 1
consume 1
continual 1
crushed 1
dedicates 1
dessert 1
discloses 1
discover 1
dissent 1
do 3
does 1
doing 1
dont 1
down 1
during 2
each 1
early 1
east 1
eats 1
editor 1
either 1
elevenyearold 1
else 1
empty 1
encouraged 1
enjoys 2
enough 1
enthusiastic 1
evening 1
ever 2
example 2
exclaims 1
fact 1
father 2
fence 1
find 1
fire 1
follows 1
for 9
forgiven 1
form 1
friend 2
friends 2
friendship 1
future 2
game 1
getting 1
girl 1
given 1
going 1
golly 6
grades 1
had 2
happened 1
harriet 20
has 3
have 4
having 1
he 1
headmistress 1
hearing 1
her 34
herself 1
his 3
home 1
honest 1
house 1
hurt 1
if 2
in 11
ink 1
insists 1
instant 1
into 1
is 9
it 2
janie 3
later 1
leads 1
leave 2
lie 1
life 4
like 1
little 1
lives 2
lonely 1
lose 1
loses 1
loss 1
lunch 1
m 1
make 2
marion 1
mean 3
meanwhile 1
member 1
miserable 1
most 1
movie 1
mr 2
mrs 2
nanny 2
nasty 1
neighborhood 1
never 1
new 1
newspaper 1
newspapermdashfeaturing 1
not 2
notebook 7
notes 1
nothing 1
observes 2
of 14
old 2
ole 6
on 3
one 1
opinion 1
other 1
others 1
otherwise 1
out 1
paper 1
parents 3
parentsmdashbecomes 1
part 1
party 1
passing 1
people 2
pet 1
plan 1
planned 1
plans 1
practice 1
precocious 1
printing 1
private 1
proposed 1
punish 2
punishments 1
quit 1
rachel 1
reads 1
realizes 1
refuses 1
regularly 2
reject 1
replies 1
reside 1
result 1
resume 1
retraction 1
return 1
returned 1
rippling 1
route 2
routine 1
rude 1
same 1
sandwiches 2
school 1
schoolwork 1
scientist 1
see 1
sees 1
serious 1
she 16
shots 1
side 1
some 1
soon 1
speak 1
special 1
spends 1
spies 1
spilling 1
sport 4
spy 6
stealing 1
still 1
stories 1
structure 1
students 2
success 1
such 1
suffer 1
suitor 1
tactless 1
tag 1
take 1
teacher 2
telling 1
that 5
the 21
their 1
them 4
they 5
things 3
think 1
thinks 1
this 1
though 1
thoughts 1
through 2
time 1
tired 1
to 24
tomato 1
tries 1
trouble 1
troubles 1
two 1
types 1
up 2
upper 1
uses 1
vengeful 1
very 1
waldenstein 2
was 1
ways 2
we 1
welsch 3
welsches 2
what 1
when 4
which 2
who 3
whom 1
will 1
with 3
without 1
woman 1
world 1
worrying 1
writer 1
writes 2
writing 2
written 1
wrote 1
york 1
you 7
