1164887
/m/04cqw4
/m/04cqw4
Peter Carey
2000
{"/m/0lsxr": "Crime Fiction", "/m/05hgj": "Novel", "/m/02xlf": "Fiction", "/m/0hwxm": "Historical novel"}
a 22
abruptly 1
act 1
action 1
adds 1
after 7
age 1
agrees 1
alex 1
along 1
already 1
although 2
ambushes 1
an 3
and 21
apprentice 1
appropriated 1
are 1
area 1
armor 1
armorclad 1
arrest 2
arrested 2
as 7
assumed 1
at 1
attempts 2
australia 2
autobiography 1
avenel 1
baby 1
back 2
bank 1
banks 1
bareknuckle 1
be 1
becomes 1
becoming 1
before 1
begin 1
begins 1
behind 1
being 1
betrays 1
boxing 1
brother 2
brushes 1
bushranger 1
bushranging 2
by 9
byrne 1
child 2
children 1
claims 1
colonial 1
colony 2
constable 2
constructed 1
cornered 1
creek 1
crime 1
crippled 1
crucially 1
curnow 4
dan 2
daughter 2
day 1
death 2
descent 1
description 1
detachment 1
diemen 1
dies 1
dogged 1
dozens 1
drawn 1
dresses 1
during 1
efforts 1
ellen 2
emigrate 1
encourages 1
engage 1
enticement 1
entire 1
escape 1
escaped 1
eventual 3
eventually 6
extracts 1
falls 1
family 3
father 2
fears 1
feeling 1
fitzpatrick 4
folklore 1
following 1
for 7
forces 1
four 2
francisco 1
friend 1
friends 1
from 2
fuel 1
furious 1
future 1
gang 12
george 1
girl 1
give 1
giving 1
glenrowan 2
grant 1
grow 1
growing 1
gunfight 1
hand 2
hanging 1
harry 1
hart 1
has 5
have 2
he 3
hearn 1
help 1
her 4
herd 1
hero 2
hide 1
hideouts 1
hills 1
him 3
himself 1
his 18
history 1
honest 1
horse 2
horses 1
hostages 2
however 1
identified 1
imprisoned 1
imprisonment 1
in 16
including 1
incoming 1
intention 1
into 1
irish 1
irishman 1
is 15
issued 1
it 2
its 1
itself 1
jail 1
joe 1
john 1
joined 1
just 2
kate 2
kelly 27
kellys 1
kill 1
killing 1
kills 1
king 1
know 1
knowingly 1
knowledge 2
known 1
land 3
large 1
later 2
leave 1
leaves 2
left 1
legacy 1
legend 1
life 3
lifestyle 1
live 1
local 2
love 1
lovers 1
lowerclass 1
makes 1
making 1
manuscripts 1
marrying 2
mary 4
match 1
meets 1
melbourne 2
members 1
mistresses 1
money 2
mother 5
motivates 1
multiple 1
named 1
narrative 1
narrator 2
ne 1
ned 14
never 1
next 1
no 2
northeast 3
northeastern 1
notorious 1
numerous 2
of 29
officer 1
on 4
one 1
other 2
out 1
over 1
parts 1
people 1
plans 1
platesteel 1
police 3
policeman 1
policemen 4
power 3
precipitated 1
pregnant 1
prison 1
promising 1
prompting 1
protection 1
prove 1
provide 1
provides 1
pulls 1
quartet 1
quinn 1
raids 1
reception 1
red 2
relate 1
relates 1
relative 1
released 1
remains 1
resettles 1
rest 1
resulting 1
returns 1
reveal 1
revenge 1
revolver 1
rival 1
robberies 1
robbing 1
running 1
rural 1
sabotaged 1
samples 1
san 1
sawmill 1
sc 1
schoolmaster 1
secondary 1
seeing 1
selfdefense 1
sent 1
sentenced 1
series 1
seriously 1
settle 1
settlement 1
settlers 1
settling 1
several 1
she 2
shebeen 1
shelter 1
shootout 2
shoots 1
shown 3
since 1
sister 1
sold 1
son 3
squad 1
squatter 1
stepfather 1
steve 1
stolen 2
stops 1
story 2
strategies 1
stringybark 1
successful 1
suits 1
surround 1
surrounding 1
take 1
taken 2
taking 1
tale 1
that 6
the 52
their 1
them 2
they 1
this 2
thomas 1
threatens 1
three 3
time 1
to 24
town 2
towns 1
tracks 1
train 1
transported 1
twelve 1
two 2
unborn 1
under 1
unsuccessful 1
until 1
unwilling 1
up 1
uses 1
van 1
versus 1
victoria 5
view 1
violence 1
visit 1
warning 1
warrants 1
was 1
when 2
where 3
which 1
while 1
who 5
wild 1
will 3
with 12
without 1
woos 1
working 1
wound 1
wounding 1
wright 2
writing 2
years 3
young 3
younger 2
