1747268
/m/05ssxp
/m/05ssxp
Ernest Borneman
1937
{"/m/0lsxr": "Crime Fiction", "/m/02n4kr": "Mystery"}
135 1
3 1
a 23
abc 2
about 3
accident 1
acquaintance 1
acquittal 1
acquitted 1
act 1
actress 2
actually 1
addressee 1
admits 1
affair 1
affairs 1
after 1
afterwards 2
again 1
against 2
alive 1
all 1
already 1
also 2
although 2
altogether 1
an 7
and 21
antagonism 1
antagonists 1
anything 1
are 3
arrest 1
arrested 3
as 10
aspiring 1
assumes 1
assuming 1
at 6
automatic 1
avid 1
be 8
because 1
becomes 1
been 4
being 1
belated 1
between 2
bloom 2
boarding 1
body 2
book 2
borneman 1
boss 1
both 3
break 1
build 1
bumps 1
business 1
but 3
by 4
cabe 1
called 1
camera 1
cameron 3
can 2
cannot 3
carrying 1
case 3
cause 2
cheap 1
claims 1
cold 1
collector 1
committed 1
comparing 1
completed 1
condemns 1
conducted 1
conducting 1
confession 2
confrontation 1
continues 1
convicted 1
course 2
credibility 1
crime 1
criminal 1
cut 2
cutting 1
cuttingroom 2
dashiell 1
day 2
days 1
dead 3
death 2
deaths 1
december 1
decided 1
decides 1
defence 2
deplores 1
detective 2
development 1
died 2
dinah 2
doctored 1
does 2
doing 1
door 1
doublecrossing 1
down 2
during 1
each 1
editor 1
either 1
end 1
entitled 1
epilogue 1
epitaph 1
equipped 1
escalatesmdashtheir 1
escaped 1
estella 3
eternal 1
even 3
eventually 2
evidence 1
exactly 1
example 1
face 2
fact 1
facts 1
far 1
feature 1
fiction 1
fightmdashwhen 1
film 5
films 1
first 1
floor 3
for 7
form 1
forms 1
foul 1
found 5
four 1
friday 1
from 4
game 1
get 1
goes 1
guilty 1
had 1
hammett 1
hanged 1
happens 1
has 16
have 2
he 18
head 1
help 1
hemingway 1
her 8
him 6
himself 2
his 16
house 1
how 2
however 1
ian 2
idea 1
immediately 2
impressed 1
in 23
industry 1
insinuates 1
inspector 1
instead 1
into 2
investigations 1
involved 1
irrevocably 1
is 21
isador 1
it 4
james 1
jensen 6
jensenmdashto 1
job 1
john 1
journalist 1
joyce 1
jury 2
just 1
keep 1
know 1
knowing 1
lamare 8
last 2
later 1
lawyer 1
layman 1
learn 1
lee 1
left 1
life 1
literally 1
london 3
longer 1
lose 1
loses 1
lost 1
love 4
made 3
mainly 1
man 1
manuscript 2
maria 5
may 1
mc 1
mccabe 18
members 1
metaphorically 1
mid130s 1
might 1
mind 1
minds 1
mller 7
moment 3
morally 1
more 1
morning 1
movie 2
murder 3
murderer 2
name 1
narrative 1
native 1
no 2
norway 1
not 6
novel 3
now 2
nowhere 1
number 1
of 27
old 1
on 10
once 1
one 3
opened 1
or 2
order 1
orders 1
other 1
out 3
over 1
own 2
part 1
particular 1
partner 1
pass 1
people 1
person 2
phone 1
picture 1
place 1
point 2
poisoned 1
police 1
policeman 1
posterity 1
posts 1
produced 1
promiscuitymdashshe 1
pronounce 1
proof 1
propose 1
prosecution 1
publication 1
question 1
ray 5
reading 1
realizes 1
recently 2
recording 1
refuses 1
relationship 1
relationships 1
rented 1
repeatedly 1
replaced 1
represented 1
result 1
revealed 1
revenge 3
reviews 1
right 1
robertson 1
role 1
roll 1
room 3
same 2
scotland 2
secretary 1
see 1
seemingly 1
seen 2
sees 1
set 2
shabby 1
she 4
shoot 1
shot 2
shoulder 1
showing 2
since 1
slow 1
smith 10
so 1
solve 1
some 1
soon 1
speak 1
spur 1
stab 1
start 1
starting 1
starts 1
stateoftheart 1
story 1
straw 1
struggling 1
studio 1
suicide 1
suicidemdashas 1
supervising 1
surprise 1
suspects 2
systematically 1
talk 1
target 1
tells 2
than 1
that 12
the 63
then 2
there 2
they 1
thinks 1
this 2
thus 1
time 3
to 22
together 1
told 1
trial 3
triangle 2
tried 1
tries 1
turns 2
two 3
until 1
up 1
uprooted 1
use 1
used 1
values 2
verdict 1
wants 1
was 4
we 1
well 1
when 3
which 5
while 1
who 6
whom 1
whose 1
win 1
with 11
witness 1
women 1
working 1
workplace 1
works 1
world 1
would 1
wounds 1
written 2
yard 2
young 1
