15705001
/m/03nqqs9
/m/03nqqs9

1993-04-01
{"/m/05hgj": "Novel"}
158 1
a 7
african 2
allows 1
also 1
although 1
american 1
americans 3
an 1
and 8
arizona 1
around 1
as 3
assortment 1
at 1
be 2
become 1
been 1
beto 3
between 1
both 1
boy 1
buckeye 3
built 1
but 2
by 3
carry 1
catholicism 1
centers 2
characters 1
chinese 1
christianity 1
collection 1
community 1
contains 1
creole 1
cultural 1
curandera 1
each 1
enter 1
ethnic 2
ethnicities 1
euroamericans 1
even 1
explore 1
for 1
from 1
generous 1
grandfather 1
grandmother 1
grandparents 2
has 2
have 1
heritages 1
him 1
hindu 1
his 4
in 2
including 1
intersection 1
it 2
josephina 2
knowledge 1
known 1
larger 1
latino 1
left 1
lesbians 1
manuel 2
marginalization 1
metropole 1
mexican 1
minorities 1
mother 2
name 1
named 1
native 1
not 2
novel 3
of 8
on 4
only 2
order 1
outpost 1
outsiders 1
overlaps 1
part 1
pass 1
people 1
peyote 1
phoenix 1
picture 1
place 1
prepare 1
presents 1
preserved 1
prostitutes 1
raised 1
residents 1
return 1
road 2
seems 1
shaman 1
shamanism 1
similarities 1
since 1
spanish 1
spiritual 2
spirituality 1
spotintheroad 1
the 11
their 2
they 1
this 2
time 1
to 7
town 1
traditions 2
transvestites 1
two 1
under 1
uses 1
va 2
various 1
which 1
who 1
whom 1
world 1
yaqui 1
young 1
