19825468
/m/04q6sbg
/m/04q6sbg
Stephen Baxter

{"/m/0mz2": "Alternate history", "/m/06n90": "Science Fiction"}
1066 1
140 1
143 1
a 12
abilities 1
able 1
adjacent 1
advisors 1
after 1
against 2
ahnenerbe 2
albion 2
alfie 1
alter 1
although 1
americas 1
an 2
and 13
another 1
any 1
are 2
armed 1
army 2
as 4
assistance 1
at 1
australia 1
band 1
barbarossa 1
battle 2
baxter 1
ben 2
britain 1
british 3
broadcasting 1
but 2
by 1
canterbury 1
century 1
change 1
choice 1
christopher 1
churchill 1
collaborate 1
collaborator 2
columbus 1
communities 1
congress 1
conqueror 1
course 1
covert 1
crusader 1
daughterinlaw 1
decided 1
details 1
devastating 1
discover 1
discovered 1
discovery 1
dislodge 1
divergences 1
division 1
dover 1
dream 1
due 2
dunkirk 2
during 2
east 1
effects 1
either 1
elsewhere 1
empire 1
endeaviouring 1
ends 1
england 2
english 2
ensuing 1
entering 1
ernst 1
establish 1
established 1
evacuation 2
expanded 1
family 2
female 1
first 1
fiveash 2
folkestone 1
for 1
forced 1
forces 1
former 1
forthcoming 1
france 2
franklin 1
from 3
further 1
gary 2
gay 1
george 1
governmental 1
gravesend 1
great 1
harold 1
has 2
hastings 2
haw 2
he 1
her 1
hilda 1
hints 1
his 5
historical 1
history 1
hitler 3
holocaust 1
horsham 1
hostility 1
how 1
however 3
identity 1
ii 1
in 16
including 1
influencing 1
instead 1
intentionally 1
invade 1
invasion 1
involved 1
irma 1
is 10
islamic 1
japanese 1
jewish 1
julia 1
kamen 4
keiser 1
kills 1
kindly 1
labour 1
latent 2
later 1
launch 2
launches 1
led 1
like 1
lion 1
lobbying 1
lodges 1
london 1
lord 1
lost 1
made 1
manpower 1
mary 2
members 1
message 1
military 2
more 2
nazi 5
nazis 1
no 1
northern 1
novel 1
occult 1
occupation 3
occupy 1
of 22
officer 1
on 3
once 1
one 1
only 1
operation 3
or 1
other 2
our 2
partial 1
personnel 1
pevensey 1
plans 1
politicians 1
portsmouth 1
presence 1
president 1
prevent 1
projected 1
projects 1
protagonists 1
protectorate 3
provided 1
puppet 1
ravages 1
recover 1
regime 1
relatively 1
remains 1
renegade 1
result 1
resulted 1
results 1
reviving 1
roosevelt 1
royal 1
rural 1
sea 1
senior 1
serve 1
several 1
shortage 1
shortly 1
similar 1
sixteen 1
so 1
soldiers 1
some 1
son 1
southeast 1
southeastern 1
southwest 1
soviet 1
spared 1
ss 1
state 1
still 1
stretches 1
stumble 1
sufficient 1
telepath 1
telepathic 3
territory 2
that 3
the 33
there 3
they 2
this 2
through 1
tide 1
time 1
timeline 4
to 15
traces 1
transmissions 1
tunbridge 1
turned 2
union 1
unit 1
unoccupied 1
us 2
use 1
version 2
vi 1
vichy 1
viv 1
walrus 1
war 3
warfare 1
well 1
wells 1
while 3
whose 1
william 1
winston 1
with 4
wooler 1
work 1
world 2
