168729
/m/016ljn
/m/016ljn
Nancy Mitford
1945
14 1
160 1
a 18
abandoned 1
able 1
activities 1
adopt 1
advise 1
aesthete 1
after 2
alconleigh 3
alfred 2
all 1
almost 1
alone 1
along 1
also 4
an 4
ancestry 1
and 34
animals 1
another 1
any 1
ardent 1
are 3
around 1
as 4
at 3
aunt 2
awaiting 1
away 1
baby 1
back 1
ball 1
banking 1
be 2
because 1
becomes 4
begins 1
believes 1
best 1
better 1
between 1
birth 2
bizarre 1
blitz 1
bolter 3
bombed 1
bored 1
breaks 1
brings 1
brought 1
but 6
by 2
called 2
calls 1
care 1
cause 1
certain 1
chapters 1
character 1
charming 1
child 3
childbirth 1
children 3
choice 1
christian 5
civil 1
class 1
climate 1
clothes 1
cold 1
comingout 2
communist 1
consumed 1
contrasting 1
cousins 1
cruelty 1
cultivates 1
daughter 1
daughters 1
davey 2
davis 1
day 1
dbut 1
de 1
decides 1
deeply 1
depressed 1
desire 1
despite 1
dies 2
disapproval 1
disapproves 1
dislike 1
divorce 1
do 1
doctors 2
dont 1
duke 1
during 7
early 2
education 1
efficient 1
eldest 1
eleven 1
emily 3
encourages 1
engaged 1
england 3
eventually 1
expecting 1
fabrice 6
fact 1
falling 1
falls 1
families 1
family 2
fanny 8
fashionable 1
father 1
fiends 1
finally 1
finances 1
finds 1
focus 1
for 6
foreigners 1
formal 1
fort 2
found 2
france 2
french 2
frequently 1
friend 2
friends 2
from 2
furious 1
german 1
getting 1
gewan 1
give 1
go 1
goes 1
grandparents 1
great 1
grows 1
guest 1
habit 1
had 1
happiness 1
happy 1
has 4
have 4
having 1
he 3
heir 1
help 1
her 18
herself 1
him 2
his 1
holidays 1
hons 1
house 1
hunting 1
husband 2
husbands 1
ii 1
in 15
including 1
increasingly 1
individuals 1
instant 1
interest 1
is 16
jealous 1
john 1
juan 1
keeps 1
killed 1
kind 1
kroesig 1
landlord 1
lastminute 1
lavender 2
leave 2
leaves 1
left 1
less 1
life 2
linda 29
little 1
lives 1
living 1
london 1
lord 2
louisa 3
love 6
lover 1
luncheon 1
made 1
main 1
makes 2
man 1
many 1
marriage 3
married 1
marries 2
marry 1
matthew 4
meanwhile 1
meet 1
meets 1
merlin 2
mistake 1
mistress 1
mitford 1
moira 3
money 1
monogamy 1
months 2
more 3
most 1
mother 1
name 1
narrator 1
neighbouring 1
new 1
nine 1
no 1
not 1
novel 3
numerous 1
obsessions 1
of 18
off 1
old 1
older 1
on 3
once 1
one 2
out 2
own 2
oxford 1
pairing 1
parents 1
paris 2
party 1
paternal 1
peer 1
perpignan 1
persuades 1
plight 1
preferring 1
pregnant 1
pretence 1
preventing 1
quickly 2
radlett 5
realizes 2
receive 1
reconcile 1
recount 1
refugees 2
relationship 1
remarriage 1
resents 1
resistance 1
result 1
return 1
rift 1
rocky 1
romantic 1
run 1
runs 1
sadie 2
safety 1
same 2
sauveterre 1
scottish 1
second 1
secret 1
sees 2
senior 1
sequels 1
serial 1
serious 1
she 12
sneak 1
society 1
some 1
sons 1
soon 1
spanish 2
spends 1
start 1
stay 1
strong 1
strongly 1
takes 1
talbot 1
tell 1
than 1
that 7
the 35
their 6
therefore 1
they 3
this 4
time 4
to 23
tony 7
twenty 1
ultimately 1
uncle 3
uninterested 1
unromantic 1
up 2
upbringing 1
vague 1
valetudinarian 1
version 1
very 1
visit 1
volunteering 1
war 4
warned 1
way 2
wealthy 3
when 3
where 1
which 2
who 1
whom 3
whose 1
will 1
william 2
with 10
woman 1
work 2
working 1
world 1
would 1
wrote 1
years 2
young 2
younger 1
