17471329
/m/04cs8_f
/m/04cs8_f
Sally Grindley
2004-08-02
{"/m/0dwly": "Children's literature"}
a 17
accident 1
acts 1
after 2
also 3
an 3
and 22
another 1
are 10
art 1
as 5
ba 3
baby 1
back 2
be 1
beautifully 1
because 2
becomes 1
bedside 1
been 1
befriended 1
being 1
best 1
boat 2
book 3
born 1
bound 1
boy 1
brain 1
brings 1
brother 3
but 2
by 5
calling 1
cannot 1
catch 1
chen 5
childhood 2
china 1
climaxes 1
clothed 1
conditions 3
consciousness 1
constantly 1
cook 1
couple 1
creates 1
criticised 1
damage 1
described 1
despite 1
died 1
disapproving 1
disaster 1
discovers 1
domestic 3
doting 1
due 1
early 2
education 1
eleven 1
employed 1
employees 1
enough 1
escape 1
even 1
eventually 1
exciting 1
exploitation 1
exposed 1
eyes 1
faced 1
factory 5
family 1
fare 1
father 2
fed 1
fei 1
few 1
finds 1
for 2
forced 1
forgiveness 1
fraction 1
frail 1
friends 1
frightened 1
from 2
fun 1
gain 1
get 2
girl 1
give 1
gives 1
go 1
goes 1
going 2
good 1
grief 1
group 1
growing 1
had 1
hard 1
harsh 1
has 3
havent 1
he 4
helps 1
her 15
highly 1
his 1
home 2
hong 2
hospital 1
hospitalised 1
hours 1
household 2
i 1
idyll 1
ill 1
in 9
into 1
is 18
it 4
job 1
joins 1
keep 2
killed 1
land 1
li 1
life 3
long 1
longs 1
look 1
loves 1
loving 1
lu 9
main 1
man 1
manages 1
market 1
marry 1
mei 1
minors 1
money 3
mother 3
mr 2
mrs 4
must 1
never 1
new 1
news 1
not 1
of 9
offer 1
old 1
on 1
one 1
only 3
optimistic 1
option 1
out 1
overtime 1
overwhelmed 1
overwork 1
owed 2
paid 2
parts 1
pay 3
people 1
plans 1
poor 2
portrayal 1
promises 1
properly 1
public 1
quickly 1
rather 1
read 2
realises 1
receive 1
recommend 1
regains 1
remorseful 1
river 1
road 1
robbed 1
role 1
rural 2
same 1
school 1
see 1
sell 1
send 1
servant 2
servitude 1
she 9
simply 1
siyan 15
small 1
so 1
some 1
son 1
spilled 1
state 1
story 1
strangely 1
strip 1
student 1
sweatshops 1
take 1
takes 1
terribly 1
terrified 1
that 5
the 28
their 5
them 1
themes 1
they 4
this 1
those 1
three 1
through 1
to 17
told 3
town 1
toys 1
trapped 1
trip 1
twists 1
uncle 4
under 1
unfortunately 1
unlucky 1
unpaid 1
up 2
vegetables 1
versus 1
very 2
wang 1
waste 1
water 1
well 2
what 2
wheelchair 1
when 2
who 5
whom 2
will 1
with 3
women 2
wongs 2
work 2
workers 2
working 3
works 2
would 1
written 1
xiong 1
year 1
yet 1
yimou 1
young 2
