31547419
/m/0glqtpr
/m/0glqtpr
Abdul Muis

a 7
about 1
abusive 1
accuses 1
acting 1
admits 1
adopts 1
after 6
afterwards 1
again 1
although 2
an 1
and 16
anger 1
apologize 1
apologizes 1
are 1
around 1
arrival 3
as 2
ashamed 1
at 1
away 1
baby 1
batavia 4
be 5
because 2
becomes 2
befriended 1
begins 1
being 1
bitten 1
busee 1
by 2
can 1
cholera 1
christian 1
chrisye 1
collapses 1
colonial 1
commits 1
considers 1
corrie 11
cousin 1
coworkers 1
culture 1
day 1
deathbed 1
dies 1
discontent 1
disreputable 1
does 1
dog 1
drinking 1
du 1
dutch 1
dying 1
embracing 1
employment 1
especially 1
european 4
europeans 1
even 1
eventually 4
fall 1
family 5
feels 1
few 1
finds 2
flees 1
for 2
forgives 1
friend 1
friends 2
from 3
goes 1
government 1
graduating 1
halffrench 1
halfminangkabau 1
hanafi 14
has 2
have 1
he 10
hearing 2
her 3
heritage 1
high 1
him 6
his 19
hits 1
home 1
however 2
in 8
including 1
infidelity 1
is 6
jakarta 1
kisses 1
knowing 1
leaving 1
left 1
legal 1
letter 1
life 1
like 1
long 1
loses 1
love 2
many 1
married 2
marry 1
meets 2
men 1
minangkabau 3
move 1
much 1
muslim 2
name 1
never 1
not 3
occasionally 1
of 7
on 2
one 2
orphanage 1
ostracise 1
other 1
out 1
poison 1
poorly 1
pribumi 1
rabid 1
raise 1
rapiah 4
realizes 1
receives 1
result 1
returns 1
revolves 1
runs 1
same 1
saying 1
school 1
seen 1
semarang 2
sent 1
she 1
solok 2
son 2
starts 2
states 1
status 1
story 1
stress 1
suicide 1
superior 1
taking 1
tells 1
temper 1
temperament 1
that 5
the 8
their 2
then 2
they 4
think 1
though 1
to 13
together 2
towards 1
treated 1
treatment 3
upon 3
village 1
was 1
well 1
will 1
with 2
without 1
woman 1
working 1
worried 1
worse 1
wrong 1
years 1
