34404324
/m/0h_bhgj
/m/0h_bhgj
Lincoln Peirce
2010-10-19
a 18
able 1
about 2
accidentally 2
after 5
afterwards 1
already 1
although 1
an 1
and 21
annoyed 1
annoys 1
answers 1
are 2
around 1
art 1
artur 1
asking 1
asks 1
at 10
baby 4
back 2
barking 1
baseball 1
be 5
because 5
being 1
bell 3
ben 3
best 1
betancourt 1
board 2
bossing 1
building 1
bulletin 2
burying 1
but 5
by 5
calhoun 1
calls 1
can 1
captain 4
captains 1
chad 1
chart 3
chases 1
chose 2
class 2
classes 1
clay 1
coach 7
computer 2
conciders 1
control 1
correctly 1
couple 1
crazy 1
crew 1
crush 1
day 1
decides 1
detention 1
discouraged 1
discover 1
doesnt 1
dog 2
dogs 3
dont 1
drooling 1
duty 1
easy 1
egg 1
else 1
ends 1
even 2
everybody 2
extra 1
far 1
few 1
finds 4
first 1
fleeceball 4
for 4
francis 8
franklin 3
friends 1
fun 1
galvin 1
game 1
gang 2
get 3
gets 4
gina 6
give 1
go 3
godfrey 1
goes 3
going 1
good 3
got 1
guess 1
guesses 1
gym 2
had 1
has 3
have 2
he 26
hears 1
her 2
hers 2
him 9
his 15
hole 1
home 1
homeroom 1
how 1
idiot 1
if 1
in 5
indoor 1
into 1
is 20
it 18
jenny 5
john 2
keep 1
kittens 1
kuddle 1
lab 2
late 1
laughs 1
leads 1
lecture 1
let 1
lets 1
library 1
like 2
locker 1
looked 1
looking 4
looks 1
mad 1
makes 2
making 1
mascot 1
matters 1
mr 1
ms 1
name 7
named 1
names 1
nate 40
needed 1
new 1
next 2
nichols 3
nobody 1
not 2
now 1
of 7
off 1
office 1
on 9
opens 1
opponent 1
out 5
outside 1
outthink 1
pair 1
payback 1
peels 1
peg 1
phsyco 2
physco 1
picking 1
picture 7
pictures 1
piles 1
points 1
policy 1
principal 3
project 3
prove 1
psycho 2
pulls 1
punked 1
put 1
question 1
randy 10
read 1
realizes 2
refuses 1
reminds 1
revenge 1
rings 2
round 1
run 1
rushes 1
safe 1
safety 1
salad 1
satisfied 1
saying 3
says 9
schedule 1
school 2
science 2
sculptures 1
seating 1
see 1
sees 4
she 2
shocked 1
shouting 1
show 1
shows 2
sit 1
situation 1
so 3
social 1
spilling 1
spills 1
spitsy 1
sports 2
square 1
standing 1
still 2
stops 1
studies 1
stuff 1
sumo 1
sure 1
talking 1
team 6
teammembers 1
teddy 5
tell 2
telling 1
tells 3
that 9
the 32
them 2
then 9
they 2
thinking 1
thinks 2
this 1
though 3
thought 1
thrilled 1
through 1
time 1
to 33
together 3
too 1
tries 1
trips 1
trouble 1
trying 2
two 1
ugliest 1
under 1
until 1
up 6
walk 2
walking 1
walks 2
walrus 1
when 9
which 1
while 1
who 1
will 3
with 1
work 5
worse 1
wrestler 1
you 2
your 1
