9889018
/m/02pv_57
/m/02pv_57
Obert Skye
2007-09-25
a 21
about 2
above 1
accidentally 1
across 2
advantage 1
against 1
alive 1
all 1
allows 1
alone 1
already 1
also 3
an 3
and 35
another 1
antsel 1
are 4
army 1
as 1
ask 1
assistance 1
at 1
atlantic 1
azure 5
beard 1
because 3
becomes 1
been 3
before 2
begun 1
being 4
believes 1
between 1
blackmails 1
book 1
boy 1
building 2
buries 1
but 2
by 3
can 1
captured 1
carjacks 1
cell 2
chat 1
clover 6
coil 1
come 1
comes 2
coming 1
continue 1
controlled 1
controlling 1
council 1
dark 1
darkness 1
dead 1
deadly 1
dearth 1
defendant 1
defendants 2
den 1
dennis 8
destroying 1
die 2
died 1
dies 1
dives 1
do 2
does 1
doing 1
dream 1
dreammaster 1
dreams 1
driving 1
duo 1
dying 1
each 1
emotions 1
every 1
evil 1
exchange 1
explaining 1
ezra 5
falls 1
feeling 1
fight 1
find 1
flies 1
fly 1
follows 1
foo 16
foothe 1
for 3
foreboding 1
fourteenyearold 1
from 3
gang 1
gateway 4
get 2
geth 8
geths 1
gets 5
gifted 1
gifts 1
give 2
gives 1
gone 1
grandfather 1
great 1
ground 1
had 1
hall 1
has 8
hates 1
have 4
he 19
hears 2
hector 2
hell 1
hero 1
high 1
him 8
himself 1
his 6
hold 1
holds 1
home 1
hope 1
hotel 1
how 3
human 1
if 2
imagine 1
impossibleis 1
imprisons 1
in 14
influence 2
inside 1
instead 1
instructions 3
instructs 1
into 3
invade 1
is 13
island 2
it 8
journey 2
kill 2
killed 1
knowledge 1
known 1
konigsee 1
later 1
leading 1
learns 1
leave 1
leven 26
levens 1
life 1
like 1
listen 1
listens 1
lith 5
location 1
long 2
looks 1
lore 1
luck 1
man 1
manic 1
mankind 1
meanwhile 2
meet 1
meeting 1
meets 1
mesh 1
minds 1
more 1
mother 1
must 3
named 1
names 1
needs 1
night 1
not 1
now 1
nurturing 1
ocean 1
of 22
off 2
oklahoma 1
old 1
on 6
once 3
one 1
onick 2
only 1
open 1
ordinary 1
other 2
our 1
out 2
past 1
place 3
plan 1
planned 1
point 1
poisons 1
popcorn 1
population 1
possible 1
power 2
powerful 1
powerfully 1
powers 2
previous 1
race 1
random 1
rants 1
reading 1
reality 4
realizes 1
really 1
realm 1
red 1
refuses 1
releasing 1
remembers 2
resides 1
retrieved 1
reunites 1
revealed 2
reveals 2
revelation 1
room 1
rule 1
run 1
sabine 4
sabines 1
save 1
saving 2
saying 1
says 3
scoop 1
second 1
secret 9
sees 3
sell 1
sense 1
sent 1
separated 1
servants 1
sick 1
side 1
sinking 1
so 1
soil 1
soon 2
speaks 1
start 1
starts 4
stop 3
sudden 1
sword 1
sycophant 3
sycophants 3
taken 1
takes 4
task 1
telling 1
tells 2
that 13
the 72
their 2
them 6
then 7
theres 1
they 4
things 1
third 1
this 2
those 1
three 1
through 1
thrust 1
thumps 2
tim 7
time 2
to 34
tonight 1
tortures 1
tower 1
transferred 1
transferring 1
travel 1
tree 1
tricked 1
trio 1
truth 1
turned 1
tuttle 2
two 1
unconscious 1
under 1
unite 1
unlock 1
unlocks 1
up 1
us 2
van 1
voice 2
want 15
wants 3
wantthe 1
war 1
was 1
way 2
what 2
when 2
where 7
which 1
while 1
whispered 1
who 5
will 4
winter 7
wishes 1
with 7
wonder 1
wristband 1
your 1
