7893412
/m/026hygv
/m/026hygv
Ernest Bramah

145 1
170173 1
a 9
acts 1
actually 1
after 1
against 1
allende 1
among 1
an 1
and 12
announce 1
are 2
arose 1
as 2
at 1
attlee 1
attributed 1
bears 1
book 2
bramah 2
british 3
bureaucracy 1
but 1
by 1
cabal 1
careful 1
cause 1
central 1
chile 1
civil 1
class 1
classes 1
coal 3
coalburning 1
conciliatory 1
considerable 1
conspirators 1
constantly 1
consumer 1
convert 1
country 1
create 1
culminates 1
curtails 1
decades 1
dependent 1
depicted 2
destabilised 1
dismantle 1
distress 1
do 2
dogs 1
economy 2
elections 2
emerge 1
enacted 1
eventually 1
fascist 1
feel 1
fictional 3
following 1
for 1
forcibly 1
foreign 2
fuel 1
full 1
gain 1
general 1
going 1
good 2
government 7
guys 1
heavily 1
help 2
his 1
history 1
hoard 1
in 9
industries 1
industry 1
institute 2
is 1
labour 4
large 2
largescale 1
league 2
majority 1
makes 1
many 1
members 2
mentioned 1
military 1
miners 1
nonparliamentary 1
not 1
of 8
oil 1
oilburning 1
on 1
once 1
other 1
over 1
overthrowing 1
overthrown 1
overwhelming 1
party 1
pillar 1
plants 1
policies 1
policy 2
positive 1
power 2
powerful 1
powers 1
prediction 1
preparations 1
president 1
proved 1
publication 1
quantities 1
raise 1
regime 1
regimes 1
resemblance 1
resembling 1
salvador 1
scenario 1
secondary 1
secret 1
secretly 1
sets 1
socialist 2
spending 1
states 1
story 1
strike 1
strong 1
suddenly 1
swept 1
takes 1
tax 1
that 2
the 27
their 1
then 1
they 5
this 1
those 1
time 1
title 1
to 5
towards 1
trade 1
two 1
unemployment 1
unions 1
united 1
up 1
upper 2
upperclass 1
victorious 1
wages 1
war 1
was 1
way 1
ways 1
which 4
whose 1
wins 1
with 1
worthy 1
years 1
