4421036
/m/0c1c_g
/m/0c1c_g
Andrew Keith
1998-12-01
a 23
aboard 2
about 2
accepts 1
achieve 1
action 1
activates 1
actually 1
admiral 7
aengus 1
after 3
again 1
against 7
agency 1
agree 1
albeit 1
alert 1
all 1
along 1
alongside 1
also 2
ambitious 1
ambush 1
an 8
and 35
apparently 1
appears 1
appointed 1
approached 1
are 7
armada 1
arranges 1
as 6
assigned 1
assignment 1
association 1
at 2
attack 4
attempt 1
available 1
back 5
backwater 1
badly 2
baka 3
banfeld 4
battle 5
be 3
bear 1
been 1
begins 1
behaving 1
behemoth 1
behind 1
being 1
believes 1
belisarius 5
belisaruius 1
between 1
bhantkaraclass 1
bizarre 1
black 1
board 1
bondarevsky 11
both 2
brethren 1
bring 1
but 7
by 7
cakg 2
called 1
capital 2
captain 1
care 1
carrier 6
carrying 1
catch 1
centers 1
chapter 1
chief 2
civilian 2
clark 1
coincidence 1
colonials 2
combat 1
command 1
commander 3
commissioner 2
commit 1
committing 1
commodore 1
company 1
complicate 1
computer 2
comrades 1
confed 3
confederation 6
confees 1
confident 1
conflict 2
confronts 1
consigning 1
conspiracy 1
conspirators 1
convince 1
convinces 2
cooperate 1
could 1
coup 2
coventry 1
craft 1
crew 3
cripple 1
crippled 1
cruiser 1
crushed 2
dai 4
damage 1
damaged 1
danger 1
dawx 1
deal 1
death 1
decide 1
decides 3
decisions 1
declined 1
deep 1
derelict 2
despot 1
destroy 1
destroying 2
did 1
disable 2
discovered 1
discovers 2
disguised 1
distant 1
docking 1
doesnt 1
donald 1
doomed 1
doomsday 1
dover 3
dreadnought 3
dubious 1
during 1
earnest 1
earth 3
effort 2
efforts 1
embarks 1
end 5
engaged 1
engineer 1
engines 2
enlisting 1
enough 1
epilogue 1
escape 1
escorting 1
etienne 1
evacuates 1
evacuating 1
evidence 1
excuse 1
explosion 1
factory 1
failure 1
faithfully 1
fast 1
feels 1
fell 1
few 1
fighter 2
fighters 1
finds 1
flees 1
fleet 4
for 12
forced 1
forces 3
former 2
found 1
free 1
frl 1
frln 6
frls 2
from 5
fully 1
gain 1
geoffrey 1
gives 1
goal 1
goes 1
goliath 4
government 3
governor 1
graham 2
great 1
group 7
groups 2
growing 1
guild 2
habitable 2
hamper 1
hands 1
harper 1
has 8
have 4
he 10
head 1
help 2
her 5
highlevel 1
him 3
himself 1
hints 1
his 14
hit 1
honorable 1
hoping 1
hotly 1
however 3
hulk 1
human 2
humanity 1
humans 2
in 19
independence 4
infiltrate 1
injured 1
instead 1
intact 1
intelligence 1
internal 1
into 2
introducing 1
investigate 2
is 19
it 4
its 3
janet 1
jason 1
jhorrad 1
join 2
joined 2
juneau 6
just 1
kar 3
karga 16
keep 2
kevin 1
kilrathi 14
kis 4
knocked 1
known 1
kruger 8
lance 1
landreich 15
largka 1
last 1
latter 1
launch 1
launched 1
leader 2
leaders 1
leads 1
leaves 1
let 1
likely 1
lone 1
lost 2
main 1
make 1
makeshift 1
managed 1
manages 3
marginally 1
massive 1
matter 1
matters 1
max 1
may 1
mccullough 1
meaning 1
meet 1
meeting 2
meets 1
mentor 1
merchantspirates 1
military 1
mind 1
mission 2
mjollnir 4
moment 1
moments 1
montclair 1
more 1
most 1
mounts 1
move 1
murragh 3
must 1
name 1
navy 2
nearby 1
nearest 1
needs 1
nephew 1
never 1
new 2
newly 1
nicknamed 1
no 2
nokhtak 2
nose 1
not 4
notices 1
now 3
number 1
of 32
officer 3
officers 1
offline 1
old 1
on 7
once 4
one 1
only 4
opening 1
operation 1
opposition 1
orbital 1
ordering 1
orders 1
other 1
out 3
outmaneuvered 1
outpost 1
part 1
peace 1
plan 1
planet 1
plans 2
plotting 1
power 1
powerful 1
preferring 1
president 1
project 3
provides 1
province 2
pursuit 1
radiation 2
ragark 10
raid 1
ram 1
ranks 2
reach 1
reaches 1
reactivating 1
readiness 1
reason 1
recently 2
recommissioned 1
recover 1
recuperated 1
refit 4
refitted 3
remain 2
remains 1
removing 1
renewal 1
repel 1
republic 1
require 1
restart 2
retaliatory 1
retired 1
retreat 2
retreating 1
return 1
returned 1
returning 2
returns 1
reveals 1
richards 4
rigged 1
ritual 1
ruin 1
ruining 1
rumors 1
safely 1
salvage 2
save 1
saved 1
scare 1
scrap 1
secret 5
seeks 1
seems 2
selfdestruct 3
sequence 2
serve 1
service 1
she 1
shielding 1
shields 2
ship 8
shortly 1
shuttle 2
sister 1
small 1
some 1
sorts 1
space 2
spaceworthy 1
sparks 1
specialists 1
squadron 1
star 1
start 1
station 1
stay 1
still 2
strategic 1
strike 1
stumbles 1
succeed 1
succeeded 1
successfully 1
suffered 1
suffers 1
suicide 1
supercarrier 1
survival 1
surviving 1
survivors 5
swoop 1
system 5
take 1
taken 1
tarawa 1
tcs 4
team 4
tell 1
tender 3
tense 1
tensions 1
terminated 1
terran 2
testing 1
thanks 1
that 6
the 131
their 3
then 2
there 2
they 5
this 4
thrakhath 1
threat 1
threatening 1
through 1
time 1
to 46
together 1
tolwyn 7
top 1
towards 1
trapped 1
travel 1
tried 1
truth 1
two 1
ukar 2
under 2
unidentified 1
unleash 1
up 1
upcoming 1
upon 1
vaku 7
vance 1
very 1
vorgath 5
waiting 1
want 1
wants 2
war 2
warn 1
was 4
wastes 1
way 1
weapon 1
weapons 1
welcomed 1
well 1
what 1
when 1
where 1
which 2
while 3
who 6
whole 3
whom 1
whose 2
will 10
williams 2
wing 2
with 14
wolf 1
world 1
would 1
wounds 1
young 1
zach 1
zukara 1
