3771032
/m/09_399
/m/09_399
Joseph Roth
1932
{"/m/02p0szs": "Historical fiction", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
11 1
180467 1
185 3
1867118 1
2 1
24 1
a 16
about 1
administrator 1
aftermath 1
against 2
airs 1
almost 1
although 1
ambitions 1
an 1
and 10
april 1
are 1
aristocracy 1
aristocrats 1
as 8
aspirations 1
assume 1
austriahungary 3
austrian 2
austrohungarian 2
awards 1
awareness 1
baron 7
barons 1
battle 1
battlefield 2
be 1
become 2
becomes 1
begins 1
belligerents 1
blundering 1
book 1
brutality 1
bureaucrats 1
but 1
by 3
career 5
cavalry 4
changed 1
characteristic 1
class 3
cohort 1
collapse 1
compel 1
complains 1
comprises 1
consequently 1
consider 1
corrected 1
counters 1
custom 1
deleted 1
desiring 1
determines 1
disgusted 1
disillusioned 1
disillusionment 1
dissipated 1
district 1
does 1
dueling 1
during 1
elder 1
elevation 1
emperor 8
empire 4
ennobles 1
especially 1
eventually 2
everyone 1
expectations 1
expected 1
fact 2
family 3
familys 1
father 4
fighting 1
finds 1
first 2
for 1
france 1
franz 1
french 2
from 4
galling 1
gambling 1
generation 1
generations 3
german 1
government 2
grandfathers 1
grandsons 1
have 1
he 5
heroism 1
him 2
his 16
historical 1
history 4
horse 1
i 1
ignorant 1
iii 1
imperial 3
in 8
including 1
independence 1
infantry 4
insisting 1
integration 1
is 4
it 1
italian 2
italy 1
joseph 1
july 1
june 1
killed 1
kingdom 1
leads 1
legend 4
lieutenant 2
life 4
local 1
lt 4
man 1
march 1
maria 1
military 3
misrepresentation 1
misunderstand 1
moravian 1
most 1
nadir 1
napoleon 1
national 1
new 1
nobility 1
nobleman 1
northern 1
not 2
now 1
obey 1
of 25
offduty 1
officer 3
officers 1
official 2
old 1
opposes 1
or 2
order 1
orders 1
origin 1
own 1
paralleling 1
patriotism 1
peacetime 1
pedestrian 1
perceives 1
perceptions 1
person 1
piedmontsardinia 1
postings 1
prepare 1
presents 1
professional 2
progress 1
pursuits 1
radetzky 1
regarded 1
relates 1
reluctant 1
report 1
rescue 1
respected 1
reverence 1
revisionism 1
rewarding 1
rightful 1
ruination 1
saving 1
saviour 1
school 3
second 3
sends 1
slovenian 1
snipers 1
social 2
society 1
soldiers 1
solferino 1
son 4
song 1
sons 1
still 1
stories 1
story 1
subsequent 1
subsequently 1
such 1
superior 2
suppresses 1
system 1
teaching 1
temperamentally 1
textbook 1
textbooks 1
that 3
the 49
themselves 1
therefore 1
theresa 1
third 1
three 1
throughout 1
thwart 1
thwarted 1
to 12
topples 1
town 1
trotta 12
trottas 3
truth 1
ultimately 1
uncomfortable 1
uninspiring 1
unit 1
uprising 1
useless 1
war 2
warhero 1
was 3
wellintentioned 1
whether 1
whom 1
why 1
wine 1
with 2
without 1
women 1
world 1
would 1
yield 1
zenith 1
