10439152
/m/02qd521
/m/02qd521
Daniel Suarez
2006-12-01
{"/m/017rf8": "Techno-thriller", "/m/06n90": "Science Fiction"}
a 8
according 1
activated 1
actually 2
after 2
against 2
ahead 1
ai 1
alliance 1
already 1
american 1
and 11
anticipates 1
anyone 2
anything 1
are 2
armies 1
as 4
at 1
attacks 1
autom8s 1
avatar 1
battling 1
befriends 1
beings 1
border 1
both 1
brain 1
by 3
called 1
cancer 1
carried 1
cars 1
change 1
collapsing 1
companies 2
computer 4
computing 1
connected 1
consultant 1
controlled 1
corporate 1
corporations 1
create 1
creating 1
creation 1
crossing 1
cyberstorm 1
daemon 7
darknet 1
death 2
designed 1
detective 2
determine 1
devices 1
difficult 1
distributed 1
doing 1
driverless 1
drug 1
during 1
eagerly 1
economic 1
economy 1
end 1
entertainment 1
every 1
financial 1
first 1
followers 1
for 3
forced 1
freedom 1
from 2
fuel 1
game 1
gangs 1
giving 1
government 2
governments 1
has 1
have 1
he 1
his 1
human 3
in 4
infiltrated 1
interests 1
interfere 1
into 1
investigate 1
investigation 2
is 9
it 1
its 3
jon 1
kill 1
late 1
least 1
manufacturer 1
many 2
matthew 3
meanwhile 2
meets 1
methods 1
mexico 1
mission 1
motorcycles 1
move 1
much 1
occasionally 1
of 13
on 1
one 2
operation 1
other 1
out 1
over 1
own 1
part 1
peter 2
picks 1
political 1
price 1
private 2
program 2
programmers 1
provides 1
quest 1
race 1
ranking 1
rates 1
razorbacks 1
reports 1
resources 1
responsible 1
riderless 1
rise 1
rivals 1
robotic 1
role 1
ross 1
sebeck 2
seemingly 1
selectively 1
sent 1
sequel 1
shortly 1
skyrocketing 1
sobol 5
some 2
soon 1
specifically 1
stands 1
steady 1
step 1
survive 1
swordwielding 1
system 2
systems 1
takes 1
technological 1
technology 1
that 2
the 25
their 4
these 1
thousands 1
to 10
traditional 1
transport 1
tries 1
two 1
unaware 1
unemployment 1
unfortunately 1
up 1
use 1
used 1
useless 1
violent 1
vision 1
want 1
way 1
weapon 1
weapons 2
which 1
while 1
who 3
whom 1
will 1
with 3
work 1
worked 1
world 1
