29422388
/m/0fq1h33
/m/0fq1h33

2007
{"/m/05wkw": "Photography"}
103 1
2003 1
a 3
after 2
alexandria 1
algot 5
and 5
arrived 1
back 1
belonged 1
box 1
by 1
collaborate 1
contained 1
dating 1
day 1
decided 1
discovered 2
egypt 1
enlisted 1
follow 1
footsteps 1
friend 1
from 1
glassplate 1
glassplates 1
greatgrandson 1
he 1
help 1
hundred 1
in 5
jerusalem 1
journal 2
landed 1
left 1
letters 2
live 1
mark 1
material 1
mattias 2
negatives 1
of 1
old 1
on 1
one 1
photographer 2
printing 1
project 1
reading 1
smith 1
story 1
sttersrm 2
sweden 2
that 1
the 6
they 1
to 6
told 1
was 2
when 1
which 1
years 1
