6136468
/m/0fs1s0
/m/0fs1s0
Carole Wilkinson
2003
a 7
abused 1
across 1
after 2
aging 2
aid 1
alone 2
also 1
an 5
ancient 1
and 14
apparent 1
are 3
as 1
at 1
baby 3
be 1
before 1
believe 1
blames 1
but 2
by 3
chased 1
chasing 1
china 2
claims 1
comesa 1
coming 1
courage 1
courageous 1
cruel 1
dangerous 1
danzi 6
dead 1
destiny 1
determined 1
diao 1
dies 2
discovers 1
dragon 15
dragons 2
duan 1
duckweed 1
egg 2
emperor 1
empire 1
escape 1
eventually 1
evil 1
far 1
feels 1
finds 3
first 1
found 1
friend 1
friendship 1
girl 4
gives 1
go 2
guards 1
guilty 1
han 1
hatches 1
he 1
healing 1
help 1
her 8
herself 2
his 2
hope 1
hua 2
hunter 2
hurt 1
imperial 2
in 3
is 10
it 4
journey 1
just 1
kai 1
keeper 1
kill 1
lan 2
last 2
learns 2
least 1
leaves 1
left 1
legacy 1
long 2
magical 1
many 1
master 2
mate 1
meaning 2
mountains 1
moves 1
must 3
mysterious 1
name 2
nameless 1
necromancer 1
neglected 1
now 3
ocean 2
of 8
on 2
one 3
only 1
or 1
out 2
over 1
pet 1
ping 6
place 1
protect 1
purple 1
rat 1
responsible 1
she 6
slave 4
soon 1
sorceress 1
stone 4
struggles 1
suddenly 1
take 1
tells 1
that 5
the 28
theyre 1
things 1
thinks 1
time 1
to 5
travelling 1
true 1
two 1
unaware 1
used 1
value 1
vegetable 1
vital 1
western 1
what 1
when 2
while 1
who 3
wife 1
will 1
with 3
without 1
young 1
