8152986
/m/026tjbr
/m/026tjbr
Daniel Pinkwater
1979
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/03mfnf": "Young adult literature", "/m/0dwly": "Children's literature"}
a 22
able 2
about 1
after 2
alan 13
all 1
along 1
alternative 1
among 1
an 3
and 22
appears 1
archaeology 1
are 4
arrange 1
as 2
at 3
atlantis 1
author 1
back 4
bat 1
be 4
been 1
begins 1
being 1
bellies 2
bermuda 2
best 1
better 1
biker 1
bikergang 1
book 1
bookstore 1
both 1
boy 1
boys 1
brain 1
bronx 2
but 1
by 5
called 1
can 2
cannot 1
chess 1
child 1
chili 2
cigars 1
civilizations 1
claims 2
clarence 2
class 2
classes 1
come 1
commissioner 1
control 3
conversation 1
copy 1
counselor 1
course 3
cruel 1
dance 1
day 1
deadly 1
decides 1
decoded 1
developed 1
dictionary 4
different 1
directions 1
discover 1
do 3
dr 2
during 1
earth 2
enable 1
even 1
eventually 2
existence 2
experiments 1
expose 1
falling 1
family 1
find 1
fleegixobsessed 1
folk 1
follow 2
footsteps 1
for 7
friend 1
friends 3
from 6
generated 1
gesture 2
get 3
give 1
gives 1
go 4
goes 1
grades 1
greatly 1
gym 1
hands 1
happens 2
has 1
hats 2
have 2
he 6
high 2
him 4
his 7
hit 1
hogboro 2
how 3
hyperstellar 1
i 1
if 1
in 10
independently 1
instead 1
instruction 1
interpreting 1
into 3
invisible 1
is 10
it 1
its 1
jack 1
japaneseenglish 4
junior 1
just 1
kangaroo 2
key 1
kid 1
kids 1
kit 1
klugarsh 8
know 2
known 1
later 1
learn 2
learning 1
learns 1
lemuria 1
leonard 15
let 1
lets 1
letter 1
losing 1
lost 1
make 2
manny 1
manual 1
mars 1
martian 3
martians 1
masterson 1
mean 1
meditates 1
meet 1
meets 1
mendelsohn 3
mental 1
mentioning 1
methods 1
mind 2
mindcontrol 2
miss 1
moe 1
monster 1
more 1
moving 1
nafsulian 1
nafsulians 2
name 1
named 2
neeble 2
neighborhood 1
nerds 1
new 2
occult 1
of 18
off 5
old 1
omega 1
on 2
one 3
or 2
other 2
others 1
overheard 1
owner 1
park 2
parlor 1
parlour 1
participating 1
party 1
passing 1
people 1
picked 1
plane 2
planes 1
play 1
portly 1
prediction 1
predictions 1
pretend 1
prince 2
produce 1
proper 1
psychic 1
psychologist 1
purpose 1
real 1
really 1
recently 1
recovering 1
refers 1
refund 1
relinquish 1
relocated 1
results 2
riot 1
rolzup 1
rub 2
ruled 1
run 1
samuel 6
says 1
school 3
secret 1
sells 1
seriously 1
set 1
sets 1
shock 1
showing 1
singers 1
skeptical 1
smoking 1
so 2
sometimes 1
soon 2
spaceship 1
spends 1
start 1
state 3
store 1
story 1
straight 1
stranded 1
student 1
students 1
study 1
studying 1
submission 1
such 1
suffers 1
summer 1
supposedly 1
suspended 1
take 5
taken 1
takes 1
teachers 1
telekinesis 1
tells 1
text 1
that 5
the 34
their 7
them 4
then 1
there 3
they 11
this 2
three 2
through 1
throw 1
time 1
tired 1
to 25
together 1
torment 1
touching 1
town 1
trade 1
training 1
travel 1
travelling 1
triangle 2
trip 1
twentysix 2
two 5
type 1
unexpectedly 1
until 2
up 3
venusian 1
visit 1
waka 2
wakawaka 5
wanted 1
waves 2
way 1
week 1
wellmeaning 1
west 2
what 2
when 3
where 3
which 1
while 2
who 4
wild 1
with 6
wozzle 1
yoga 1
yojimbo 5
you 1
