3145214
/m/08vbhd
/m/08vbhd
David Herter
2002-06
{"/m/06n90": "Science Fiction"}
a 5
accident 1
actual 1
admire 1
and 2
any 1
before 1
beloved 1
book 2
climax 1
considered 1
effort 1
evening 1
fans 1
few 1
following 1
follows 1
freak 1
greatly 1
have 1
heavily 1
his 1
in 2
is 1
it 1
its 1
killed 1
lolling 1
man 1
mature 1
never 1
nonetheless 1
novel 1
of 4
on 1
oregon 1
poor 1
realized 1
relies 1
retains 1
reviewers 1
small 2
sort 1
style 1
surrealism 1
suspense 1
that 2
the 6
to 1
town 1
travels 1
was 1
where 1
wife 1
year 1
