27006066
/m/0bs63qf
/m/0bs63qf
Dick King-Smith
1993
a 26
abilities 1
about 1
adopted 1
after 7
again 1
albertina 10
although 3
ambitious 1
an 7
and 18
animals 1
any 1
are 7
argument 1
arranged 1
arrival 1
as 6
asked 1
at 1
attachment 1
attack 2
attacked 2
attempt 1
attended 1
attracts 1
away 4
bad 1
bart 5
be 1
beach 2
bear 1
bearskin 1
before 1
being 2
best 1
birthday 1
blossoms 1
both 1
boy 4
brief 1
briefly 1
brother 3
brothers 1
bunsenburner 2
bunsenburners 1
but 5
by 8
called 1
casualties 1
cave 1
ceremony 1
charmouths 2
closely 1
clothes 2
clutch 2
coalblack 1
come 1
comes 1
comparative 1
compared 1
completed 1
confronted 1
cornered 1
couple 1
courting 1
cousins 1
cub 1
cubs 2
damage 1
danger 1
daughters 1
day 1
days 1
dead 1
decides 1
deduces 1
deducing 1
deep 1
definite 1
den 1
described 1
diet 1
discovers 3
dragon 5
dragons 4
drive 1
due 1
during 2
easily 1
eat 1
egg 3
eggs 2
elderly 1
encounter 1
engagement 1
enhance 1
everything 1
examiner 2
eye 1
fails 1
family 6
father 1
female 1
finally 1
find 1
finds 1
firedrake 1
firedrakes 1
first 1
flavour 1
flee 1
flesh 1
flight 1
fly 1
flying 1
followed 1
foods 1
for 7
forced 1
forces 1
forest 1
forming 1
fortunately 1
fourth 1
from 3
further 1
gave 1
gazes 1
gerald 4
gives 1
group 1
grows 1
harshly 1
has 3
hatched 1
hatches 2
have 2
he 4
head 1
her 10
herbs 1
herself 1
hiding 1
him 8
his 11
holiday 2
home 2
honeymoon 1
however 1
human 1
hurries 1
husband 1
ignorant 1
in 11
incubate 1
informing 1
inspired 1
interested 1
into 1
is 7
it 4
its 1
john 18
joy 1
joys 1
keep 1
kept 2
kill 2
knights 1
knowledge 1
lake 1
later 2
latest 2
lays 1
leaving 2
left 1
life 2
little 1
lizard 1
lucky 11
made 1
makeshift 1
male 1
man 1
manages 2
marriage 1
master 1
mean 1
means 1
member 1
might 1
milky 1
montague 11
mood 1
much 1
must 1
names 1
naming 1
near 1
nearby 1
nearly 1
need 1
nest 3
never 1
next 1
no 1
nohumans 1
nothing 1
noting 1
of 16
off 1
old 1
older 1
on 4
onwards 1
orphaned 1
out 2
outlaw 2
parents 2
peril 1
pet 1
place 2
plan 1
pleasant 2
point 1
potential 1
present 1
prompt 1
prompting 1
proves 2
put 1
questions 1
quizzical 1
rarity 1
reasoning 1
recently 1
reeds 1
reflect 1
regularly 1
relationship 1
replacement 1
resolutely 1
returning 1
returns 1
revealing 1
role 1
romance 1
save 3
saw 1
scotland 1
search 2
senses 2
setting 1
several 1
she 1
shortly 1
six 1
sleep 1
smuggle 1
some 1
son 1
speech 1
stayed 1
steal 1
subsequent 1
take 2
takes 2
test 2
that 11
the 34
their 7
them 3
they 4
this 2
threatens 1
three 1
time 2
to 26
training 1
travel 1
try 1
turned 1
two 1
under 1
until 1
value 1
various 1
village 1
visiting 1
warm 1
was 2
weapons 1
wedding 2
weeks 1
welsh 1
when 4
where 2
while 5
who 6
wife 2
will 1
winter 1
with 5
without 1
wolf 2
wolves 1
worth 1
years 1
young 2
younger 1
youth 1
