9521551
/m/02php5r
/m/02php5r
Amelia Atwater-Rhodes
2007-09
a 11
abdicates 1
about 1
accidentally 1
across 1
admits 1
after 2
again 1
agrees 1
ahnmik 1
all 1
and 24
anjay 1
another 1
anything 1
apologizes 1
are 2
arms 1
as 1
ascend 1
ascended 1
at 1
avian 1
away 1
back 1
be 1
beating 1
been 1
begged 1
being 3
betraying 1
blood 1
born 1
brings 1
broken 1
brother 1
but 1
by 1
cause 1
chaos 1
child 1
children 1
cjarsa 1
cobra 3
cobriana 3
come 1
comes 1
confused 1
couldnt 1
court 5
cousin 1
creature 1
crest 1
crippled 1
dance 1
darien 2
daughter 2
days 1
death 1
deep 1
destruction 1
didnt 1
diente 1
disposal 1
diving 1
do 2
done 1
dutiful 1
dying 1
ecl 1
empress 1
engulfed 1
enjoy 1
even 1
ever 1
falcon 12
felt 2
few 1
fight 1
finally 1
find 1
finds 1
fixed 1
flames 1
for 7
forced 1
forces 1
form 1
found 2
from 3
future 2
generation 1
grudgingly 1
guard 1
guild 1
had 3
hai 10
happiness 2
has 1
have 1
having 1
heart 1
held 1
her 23
herself 2
him 3
his 1
hold 1
home 2
hopes 1
horrific 1
however 1
identity 1
if 2
in 7
increasingly 1
into 2
intrigues 1
is 4
it 3
keep 2
kept 1
keyi 1
killing 1
king 1
let 2
like 1
line 1
long 1
loves 1
magic 5
means 1
meantime 1
mongrel 2
most 1
mother 2
must 1
need 1
new 2
nicias 7
not 1
now 2
obsidian 2
of 12
older 1
oliza 4
on 1
one 1
only 2
onto 1
order 1
out 3
outcast 1
outcasts 1
own 1
painful 1
people 2
place 2
poisoned 2
political 1
power 1
powerless 1
prefer 1
protect 2
pure 1
pushed 1
putting 1
reached 1
reaches 1
refused 1
return 1
revive 1
ripple 1
rosalind 1
royal 1
rub 1
salem 4
save 1
says 1
scales 1
scream 1
searches 1
seems 1
sees 1
serpiente 3
shardae 1
she 22
skin 1
soul 1
split 1
stop 1
story 1
sure 1
than 1
that 3
the 25
then 1
there 1
they 2
this 1
those 1
though 1
throne 5
throw 1
time 1
to 19
together 1
too 1
tried 1
truly 2
trust 1
try 1
unable 1
unconscious 1
understands 1
upon 2
uses 1
using 1
vere 2
very 1
visions 2
was 3
wasnt 1
went 1
were 1
what 1
when 6
who 5
will 1
wings 1
with 2
world 2
would 1
wyvern 5
wyvernhail 1
zane 1
