16254019
/m/03wf47l
/m/03wf47l
Sue Grafton

{"/m/02n4kr": "Mystery", "/m/02xlf": "Fiction"}
a 7
accomplice 1
alternates 1
an 1
and 10
another 1
are 1
artist 1
at 1
badly 1
becomes 2
between 1
book 1
books 1
cantankerous 1
car 2
care 1
case 1
charm 1
clients 1
come 1
company 1
con 1
conartist 1
dangerous 1
died 1
doesnt 1
down 1
drove 1
engages 1
expose 1
extensive 1
fall 1
female 1
finds 1
forward 1
fraud 1
friends 1
get 1
gus 3
had 1
he 1
help 1
her 4
him 2
hires 1
history 1
husband 1
identity 1
in 4
injured 1
injuries 1
insurance 2
into 1
investigates 1
involving 1
is 4
isolated 1
kinsey 6
kinseys 1
know 1
must 1
neighbor 1
neighbors 1
nurse 1
of 2
other 2
out 1
passenger 1
perspectives 1
possible 1
previous 1
private 1
rather 1
recuperates 1
reluctant 1
rescue 1
rojas 1
rough 1
rousing 1
same 1
series 1
she 2
sociopath 1
solana 4
student 2
suing 1
suspicions 1
suspicious 1
that 2
the 6
theft 1
this 2
time 1
to 4
track 1
two 1
under 1
unlike 1
use 1
what 1
when 1
while 1
who 3
with 2
withdrawn 1
without 1
witness 1
works 1
