17554529
/m/0465t4x
/m/0465t4x
John Marston


a 13
abigail 3
actual 1
admission 1
admit 1
advances 1
advantage 1
all 1
amago 1
amicably 1
an 1
and 19
apartment 1
appeal 1
appointed 1
apprehended 1
are 6
arent 1
arrest 1
as 5
assaulted 1
assume 1
at 3
attracted 1
away 1
balcony 1
be 2
bed 2
been 2
before 1
begun 1
being 1
believe 1
betray 1
bid 1
both 3
brave 1
breaks 1
brides 1
brought 1
but 2
by 5
captured 1
career 1
circumstance 1
citizens 1
city 1
claims 1
clardiana 3
climb 1
climbing 1
colonel 1
come 1
common 1
conceives 1
condemned 2
confesses 1
confessions 1
continue 1
contrasted 1
count 5
countess 3
crawls 1
cuckolded 1
cuckolds 1
customary 1
cyprus 1
dancers 1
day 2
death 3
deaths 1
decide 1
denied 1
denounces 1
determined 1
determines 1
died 1
disguised 1
dishonor 1
don 1
double 1
doubled 1
drama 1
duel 2
duke 4
each 3
english 1
enough 1
even 2
exasperated 1
executions 1
expects 1
explain 1
fall 1
falls 1
family 1
far 1
farewell 1
feast 1
feud 1
fight 1
final 1
find 2
first 2
flee 1
foolish 1
for 4
forgiveness 1
forward 1
foscari 1
friar 1
friend 2
friends 1
from 3
fully 1
gain 1
gazia 1
gnaica 3
grandfathers 1
grieving 1
had 1
has 1
have 1
he 6
hearts 1
her 14
hermus 1
him 4
his 5
hoping 1
house 2
houses 1
hunting 1
husband 3
husbands 2
in 9
injured 1
instead 1
into 1
is 14
isabella 6
jewels 1
just 1
kill 2
ladder 1
lady 3
lentulus 2
lesson 1
letter 1
love 2
lust 1
lustful 1
marriage 1
masque 2
massino 5
matter 1
mdash 2
meanwhile 1
medina 1
meet 2
meets 1
men 4
mendoz 1
mendoza 4
mind 1
mistakenly 1
mizaldus 1
more 1
mourning 2
move 1
much 1
mutual 1
named 1
nephew 2
never 1
new 2
night 1
not 2
now 2
observes 1
of 13
offer 1
old 1
on 5
one 1
only 1
opens 1
other 1
outraged 2
over 2
overwhelms 1
own 2
part 2
passion 1
pavia 1
period 1
play 2
precipitously 1
presence 1
publicly 1
pursued 1
quarrel 1
quickly 2
rather 1
ready 1
realizing 1
recentlydeceased 1
released 1
removed 1
renaissance 1
resists 1
resolved 1
result 1
retract 1
returns 1
rival 2
roberto 2
rogero 2
romance 1
rope 1
sago 2
satiric 1
scaffold 1
scour 1
scruples 1
seducer 2
seducing 1
sentences 1
sex 1
she 7
shock 1
sight 1
silly 2
situation 1
so 1
society 1
solicits 1
someone 1
soon 2
sooner 1
spanish 1
spare 1
stage 1
staged 1
state 1
steal 1
story 1
street 1
strikes 1
subplot 1
successful 1
sudden 1
suspects 1
talk 1
teach 1
telling 1
thais 3
than 1
that 8
the 37
their 9
them 1
there 1
they 6
theyve 1
thinking 1
this 2
three 2
to 23
together 1
trick 2
tries 2
truth 1
two 5
uncontrolled 1
under 1
unwilling 1
up 1
use 1
uses 1
venice 2
verses 1
version 1
violate 1
virtuous 2
viscount 1
visits 1
wanting 1
wanton 1
was 1
watch 2
wedding 2
what 1
when 1
where 1
widow 2
wife 1
will 1
wishes 1
with 5
wives 1
women 1
work 1
wouldbe 1
writes 1
wrongfully 1
