9851778
/m/02ptvt9
/m/02ptvt9
Sherwood Smith

1 1
a 5
abduct 1
after 3
against 2
agents 2
aid 1
alarm 1
alat 1
all 2
ancestral 1
and 5
andreus 2
are 1
army 1
as 2
assassinate 1
at 1
been 2
began 1
begins 1
being 1
building 1
but 1
by 3
can 1
capitalizing 1
conor 1
covert 1
directly 1
disarray 1
does 1
drink 1
drugged 1
earlier 1
effect 1
evacuated 1
evenly 1
events 2
feared 1
finally 1
force 1
forces 1
form 1
full 2
had 1
have 1
having 1
hawk 1
her 3
hidden 1
hills 1
himself 1
his 2
hold 1
home 1
in 9
inflicted 1
into 1
is 5
king 1
known 1
lands 1
launch 1
lirwan 1
lirwani 2
los 1
loyal 1
maneuvers 1
meldrith 3
military 1
million 1
most 1
mount 1
moves 1
murder 1
not 2
now 1
occupation 1
of 9
on 2
one 1
order 2
organizes 1
over 1
palace 1
parents 1
part 1
place 1
plot 1
posing 1
power 1
presented 1
queen 1
quest 1
raids 1
raises 1
recalled 1
rescue 1
rescued 1
reviving 1
rhiscarlan 1
rings 1
royal 1
ruins 1
seek 1
senna 1
sent 1
servant 1
set 1
she 2
some 1
south 1
spread 1
stable 1
staircase 1
strike 1
successfully 1
summons 1
support 1
take 2
tess 4
the 17
these 1
they 1
throughout 1
time 1
to 9
toppling 1
troops 1
tyron 2
until 1
up 1
using 2
vacation 1
via 1
were 1
which 3
while 1
who 1
witness 1
worker 1
wren 5
yet 1
