26601848
/m/0bh9r1r
/m/0bh9r1r
Douglas Reeman
1975

4th 1
a 5
aboard 1
admiralty 1
africa 1
also 1
an 2
and 10
announces 1
another 1
approaches 1
approaching 1
are 4
arriving 1
as 1
at 3
athens 3
base 1
been 2
being 1
bolitho 5
book 1
by 5
captain 1
capture 1
captured 1
castle 1
city 3
coastal 1
commanded 1
company 1
conway 1
crew 1
cut 1
dancer 3
dark 1
deduce 1
destroys 1
dhow 1
disappearance 1
discover 1
dispatched 1
during 1
empty 1
encounter 1
escape 1
fire 1
fleet 1
fort 3
frequented 1
from 2
gorgon 4
grudge 1
guise 1
had 2
harbour 1
has 1
he 1
help 1
heritage 1
holds 1
however 1
in 5
inn 1
investigate 1
killed 1
lieutenant 2
martyn 1
meets 1
members 1
merchantman 1
midshipman 1
midshipmen 1
mission 1
mistreats 1
mr 1
nearby 1
night 1
of 7
officers 1
on 1
opens 2
out 1
over 1
pillaged 1
pilot 1
pirates 2
portsmouth 1
prestigious 1
raid 1
raided 1
reefs 1
region 1
retrieved 1
returns 1
richard 1
sails 1
see 1
sent 2
ship 6
ships 3
shoals 1
slave 1
soon 1
succeed 1
surrounded 1
taking 1
that 4
the 33
them 1
there 1
they 4
to 2
towards 1
treacherous 1
tregorren 1
two 1
under 1
upon 1
using 1
was 1
west 1
where 1
which 1
who 1
with 3
withdraws 1
