6087491
/m/0fpjx0
/m/0fpjx0
Rex Stout

{"/m/02n4kr": "Mystery", "/m/028v3": "Detective fiction", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
a 22
about 3
acceptable 1
accepts 1
accident 1
accidentally 1
across 1
actually 1
aftereffects 1
agrees 1
alerting 1
almost 1
along 1
also 1
american 1
an 2
and 29
andy 2
announcing 1
anticipating 1
any 1
apparently 3
archie 23
are 3
arnold 1
arrives 1
as 7
ask 1
asks 2
associates 2
at 3
attached 1
attorney 1
avoid 1
away 1
back 1
be 1
bears 1
bed 1
been 2
before 2
begins 1
belongs 1
bemused 1
between 1
body 1
borrowed 1
boss 1
brady 1
break 2
brownstone 2
bte 1
bucket 1
business 2
but 6
buy 1
by 3
call 2
camera 1
can 1
cant 2
car 5
card 4
cases 1
cause 1
check 1
cocktail 1
collect 1
combination 1
come 1
communist 3
communists 1
con 1
confesses 1
connection 1
consciousness 1
consequences 1
contents 1
country 1
crime 1
crush 1
daughter 3
day 1
decamp 1
decide 1
decided 1
describes 1
destroying 1
detailed 1
detective 1
determined 1
did 1
didnt 1
discloses 1
discovers 1
disputes 1
district 1
divorce 1
do 2
does 2
doesnt 1
dope 2
dopes 1
drink 3
driveway 2
drop 1
drug 1
drugged 3
dumped 1
earlier 2
emptied 1
errand 1
estate 3
evidence 2
exchanged 1
exchanges 1
expose 1
family 3
feet 1
few 3
find 2
finding 1
finds 2
fire 1
for 11
force 1
from 3
gave 1
gazette 1
give 2
glass 1
glasses 1
goes 1
goodwin 1
grounds 1
guests 1
guns 1
gwenn 6
had 4
harbored 1
has 7
having 1
he 13
head 1
help 2
her 1
herself 1
hidden 1
hiding 1
him 8
himself 1
hired 1
his 11
hit 1
hours 1
house 1
houseguests 1
ice 1
implies 1
impressing 1
in 10
industrialist 1
information 2
informs 1
internal 1
into 1
introduced 1
investigate 1
investigation 2
is 5
isnt 1
it 12
james 1
job 1
just 3
kane 2
keep 1
kisco 2
knock 2
know 1
knows 1
later 3
lays 1
leaves 1
letter 1
lieutenant 1
lift 1
long 1
lost 1
louis 1
machine 1
madeline 3
manages 1
manhattan 1
marital 1
materials 1
meeting 2
meetings 1
membership 2
men 1
midst 1
minutes 1
moment 1
most 1
mount 2
murderer 1
named 1
near 1
neither 1
news 1
next 1
night 2
no 1
noire 1
noonan 1
nor 1
not 1
nothing 1
notices 1
notified 1
obtain 1
of 11
off 2
offer 1
offers 1
on 4
one 2
open 1
operations 1
operatives 1
or 2
orchids 2
out 4
outside 1
over 3
own 1
panzer 1
party 3
passing 1
phone 3
phoned 1
photo 1
photograph 1
photographs 1
picture 1
plans 2
plant 1
police 1
pool 1
prepares 1
preparing 1
present 1
pretend 1
pretended 1
pretends 1
private 1
purchased 1
puts 1
ran 2
realizes 1
reason 1
recasts 1
recognizes 1
regain 1
repairs 1
reparked 1
repeatedly 1
replacement 1
reports 1
request 1
return 1
returns 1
reynolds 1
road 1
rony 26
room 2
rooms 1
run 2
ruth 1
saul 1
screw 1
search 2
searches 1
sedative 1
seen 1
sending 1
she 5
shell 1
someone 2
something 1
sort 1
spend 1
sperling 9
sperlings 1
still 1
stop 1
story 1
street 1
strong 1
suffer 1
suffers 1
suitor 1
surreptitiously 1
swimming 2
take 1
takes 1
tells 1
ten 1
that 16
the 44
their 2
then 3
they 3
through 1
to 31
trap 1
triumph 1
trunk 1
trunks 1
two 1
u 1
unconscious 1
undercover 1
underway 1
use 2
villain 1
waiting 1
wallet 2
want 1
warned 1
warning 1
was 3
waylaid 1
wealthy 1
webster 1
weekend 1
westchester 1
what 3
whatever 1
when 4
while 1
will 3
william 1
windows 1
with 11
wolfe 17
wonders 1
work 1
yawning 1
years 2
zeck 7
