629033
/m/02yd6c
/m/02yd6c
Anton Chekhov


21 1
a 24
about 2
accept 1
accepted 1
accepts 1
acknowledges 1
act 5
affair 1
aged 1
aid 1
all 5
alone 1
also 1
an 3
and 32
andrei 8
anfisa 2
angry 1
anniversary 1
announced 1
another 1
are 6
area 1
arms 1
artist 1
as 11
asked 2
asks 1
aspirations 1
at 8
attempts 1
awareness 1
baby 1
back 1
band 1
baron 1
bbik 1
be 2
because 1
been 2
before 1
begins 3
begs 1
behind 1
being 1
belonging 1
best 1
between 1
blankets 1
blunders 1
blunt 1
boy 2
bringing 1
brother 1
but 9
by 4
call 1
cannot 1
cant 1
carrying 1
celebrate 1
challenged 1
character 2
charge 1
chatelaine 1
chebutykin 2
child 2
children 1
clear 2
clock 1
close 1
closes 1
clothes 1
clownish 1
come 1
comes 2
common 2
companion 1
compassionately 1
compensate 1
conceding 1
concert 1
confesses 2
confides 1
confusion 1
controlof 1
could 1
crisis 1
cruelties 1
cruelty 1
death 3
debts 1
decides 1
declare 1
delicate 1
depart 1
despairs 1
desperate 1
different 1
disappointment 1
does 1
doing 1
dotes 1
doting 1
dream 1
drunkenly 1
duel 2
education 1
efforts 1
elderly 1
eldest 1
embrace 1
emptiness 1
enchanted 1
end 3
even 3
ever 1
everyone 1
everything 2
expectation 1
exultantly 1
faced 1
family 4
fate 1
father 1
feel 1
feelings 1
feodor 1
final 2
fire 1
first 2
flashphotograph 1
flushed 1
folly 2
foolishly 1
for 8
forgiveness 1
fork 1
fourth 1
friends 1
from 4
full 1
gaiety 1
gallant 1
gambling 1
gay 1
gazing 1
generously 1
giddy 1
give 1
gives 1
glance 1
going 1
grew 1
grief 1
had 1
happen 1
happiness 1
has 6
have 1
having 1
he 4
headmistress 2
heard 1
heart 1
heartbreaking 1
her 19
here 1
hiding 1
him 4
himself 1
his 11
hollers 1
home 4
household 1
however 1
husband 2
i 2
idealism 1
idolize 1
if 2
ilyich 1
in 24
including 1
intent 1
interest 1
into 1
irina 10
is 22
it 5
italian 1
ivanovna 1
joy 1
just 1
keeping 1
key 1
knew 2
kulygin 2
later 3
leave 1
leaving 1
led 1
lieutenantcolonel 1
life 4
lifelike 1
likening 1
lines 1
little 1
long 1
lost 1
love 9
loved 1
made 1
man 1
manipulatively 1
march 1
marriage 3
married 2
marry 1
masha 6
meeting 1
mentioned 1
middle 1
money 1
months 1
more 2
mortgaging 1
moscow 2
mother 1
moving 1
mutual 1
named 1
nameday 1
natalia 1
natasha 13
naught 1
never 1
night 1
no 2
noble 1
not 1
now 1
of 25
off 2
offer 1
offstage 1
olga 7
on 6
one 3
only 4
onstage 1
out 6
outdoors 1
outlook 1
over 1
own 2
party 1
passing 1
pay 1
pedantry 1
people 2
permanent 1
persevere 1
pianist 1
piano 1
place 1
plans 1
play 5
point 1
position 1
power 1
preparing 1
private 1
promotion 1
protopopov 1
pulled 1
quashed 1
quashes 1
questions 1
quiet 1
rails 1
realistic 1
relation 1
reluctantly 1
remains 1
remember 1
rescuing 1
resignation 1
resultant 1
return 1
romance 1
room 4
rooms 1
scene 1
school 2
schoolteacher 2
secret 1
seems 1
seen 1
sees 1
selfhatred 1
sense 1
servant 1
seven 1
share 2
she 16
shortly 1
shot 1
sign 1
sings 1
sister 3
sisters 7
smashes 1
so 1
sobbing 1
soldiers 4
solyony 2
somewhat 1
sophistication 1
sound 1
speaks 1
stalks 1
stand 2
still 1
stuck 1
stumbles 1
subtle 1
such 1
sufferings 1
suffers 1
suggests 1
superior 1
supported 1
taken 2
takes 1
taking 2
tararaboomdiay 1
teacher 2
teaches 1
tension 1
than 1
that 10
the 58
their 9
them 4
there 2
they 1
this 2
though 1
three 3
through 1
thus 1
time 2
to 30
together 1
too 1
took 1
touches 1
town 1
trained 1
true 1
truly 1
turn 1
turns 1
tuzenbach 6
two 2
uncertain 1
under 1
undercurrent 1
up 2
vent 1
vershinin 4
very 1
wants 1
was 3
we 2
well 1
what 2
when 1
where 1
which 1
who 3
whom 1
whose 1
wife 1
willingly 1
window 1
wisdom 1
with 13
woman 1
work 1
working 1
year 1
years 1
younger 1
youngest 1
