11180524
/m/02r2rrk
/m/02r2rrk
Christine Feehan

a 3
although 1
always 1
and 1
anything 1
apart 1
arms 1
around 1
astonished 1
band 1
been 1
belonging 1
bitten 1
but 2
can 1
carpathian 1
centuries 1
chew 1
close 1
color 1
colors 1
danger 1
darius 3
different 1
does 1
emotions 1
enveloping 1
even 1
ever 1
felt 2
first 1
from 2
gifts 1
group 1
hair 1
has 3
he 2
her 4
hired 1
his 2
in 2
is 1
it 1
job 1
kiss 1
known 1
last 1
leader 1
love 1
mechanic 2
moment 1
more 2
musicians 1
needs 1
new 1
of 3
off 1
offer 1
on 1
or 2
others 1
potent 1
quickly 1
realizes 1
red 1
saw 1
see 1
seeks 1
seems 1
sees 1
she 5
since 1
sorcerer 1
spell 1
tempest 2
than 2
that 1
the 8
to 3
touring 2
trine 1
understand 1
unique 1
vehicles 1
when 1
with 1
work 1
