30033
/m/07d4x
/m/07d4x
Terry Pratchett

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
a 15
according 1
achieving 1
adopted 1
again 1
also 1
altering 1
alternate 1
an 4
and 9
ankhmorpork 1
anything 1
apprenticed 1
apprenticeship 2
arrives 1
as 2
assist 1
assistance 1
at 3
attempt 1
attracting 1
back 1
be 1
become 1
been 1
before 1
begins 1
being 1
black 1
both 1
business 1
but 1
character 1
cloak 1
concealed 1
conclusively 1
consulting 1
created 1
crisis 1
cutwell 1
daughter 1
death 10
developing 1
die 1
disc 1
discworld 1
do 1
does 1
dramatically 1
duel 2
duty 1
else 1
emotion 1
employer 1
end 2
essentially 1
experiences 1
fair 2
family 1
farming 1
father 2
feel 1
felt 1
first 1
for 7
former 1
freedom 1
from 4
given 2
had 1
has 2
have 1
he 6
her 3
him 5
himself 1
hiring 1
his 5
hoping 1
horse 1
however 1
human 2
igneous 1
in 5
indulge 1
infatuation 1
instead 1
interest 1
into 1
is 7
it 2
job 3
just 1
land 1
lezek 2
life 1
like 2
live 1
local 2
long 1
looking 1
loses 1
luck 1
made 1
make 1
man 3
marries 1
methods 1
midnight 1
more 1
mort 17
most 1
much 1
must 2
named 1
new 1
next 1
no 1
not 2
novel 1
of 8
on 1
once 1
only 1
out 1
part 1
pearl 1
pearllike 1
personality 1
practical 1
preconceived 1
prevented 1
princess 4
problem 1
propensity 1
provide 1
rather 1
real 1
reality 3
reduced 1
relish 1
safekeeping 1
save 1
saved 1
saves 1
says 1
second 1
seemingly 1
selects 1
sends 1
some 2
someone 1
son 2
soul 1
souls 1
spares 1
starts 1
state 1
stroke 1
teenager 1
temperament 1
that 3
the 18
then 1
thinking 1
thinks 1
this 2
though 2
thought 1
thus 1
time 1
to 18
too 1
took 1
towards 1
tradesman 1
traits 1
travels 1
truly 1
try 1
turn 1
turns 1
undertaker 1
unstoppable 1
unsuited 1
up 1
ushering 2
various 1
what 1
when 2
which 1
white 1
whom 1
wins 1
with 2
wizard 1
work 1
world 1
would 3
yearns 1
young 1
ysabell 1
