5779726
/m/0f44yk
/m/0f44yk
Dave Wolverton
2001-03-14
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/03qfd": "High fantasy"}
a 5
after 2
afterwards 1
against 1
agreeing 1
ahten 4
aid 1
all 1
also 1
and 16
apparently 1
are 1
arisen 1
as 3
ash 1
ask 1
at 1
attacked 1
attacking 1
attempts 1
averan 3
back 2
balington 1
battle 2
battlefield 1
begins 1
best 1
binnesman 3
body 1
borenson 3
brotherhood 1
but 1
by 2
celinor 1
chase 1
comes 1
companions 1
company 1
connal 1
creatures 1
curse 1
dawn 1
daylan 1
death 1
declare 1
defeat 1
defend 1
dies 1
disastrous 1
does 1
down 1
dying 1
earth 4
earthly 1
element 1
encounters 1
end 1
erin 1
extract 1
fact 1
fails 1
fell 1
few 1
final 1
finds 1
fire 1
flameweavers 1
fleeing 2
for 2
from 5
gaborn 5
gain 1
give 1
gives 1
hammer 1
harassing 1
has 2
hatches 1
he 2
heal 1
her 2
him 8
himself 2
his 12
horde 1
however 1
in 8
indhopal 2
inflicted 1
information 1
injured 1
inkarra 2
into 2
is 2
journey 1
kartish 1
king 3
kingdom 1
knows 1
lead 1
learn 1
learning 1
learns 1
life 1
living 1
lord 2
mage 1
man 1
manages 1
marked 1
master 2
meanwhile 1
men 2
move 1
murder 1
myrrima 3
nation 1
near 1
nearby 1
no 1
north 1
of 12
off 1
on 2
one 2
only 1
order 1
out 1
own 4
path 2
people 1
plan 1
possible 1
powers 2
prince 1
promptly 1
races 1
raj 4
reaches 1
reaver 3
reavers 4
remain 1
remaining 2
rest 1
scathain 1
scuttling 1
seek 1
sending 1
sensing 1
she 2
sir 1
slay 1
some 1
south 2
special 1
spring 1
storm 1
strong 1
struggling 1
stunningly 1
sum 1
support 1
that 4
the 30
their 1
they 1
though 1
time 1
to 19
towards 1
track 1
train 2
transforming 1
travel 2
true 2
turn 1
underworld 3
until 1
upon 1
village 1
warn 1
warriors 1
waste 1
water 1
waymaker 2
we 1
well 1
when 1
whenever 1
while 1
who 1
wights 1
will 1
with 1
within 1
wizard 1
wolf 1
word 1
world 1
wounds 2
wylde 2
zandaros 1
