10643053
/m/02ql1f6
/m/02ql1f6
Evangeline Walton
1970
{"/m/01hmnh": "Fantasy"}
a 7
access 1
after 1
against 2
all 1
an 2
and 13
any 1
are 1
arianrhod 2
arms 2
at 2
attempts 1
back 1
banishes 1
be 2
beautiful 1
behind 1
birth 1
blodeuwedd 4
blodewedd 1
blow 1
breeding 1
brother 1
but 4
by 4
called 1
can 2
combat 1
compensate 1
compensation 1
current 1
deed 1
deer 1
do 2
dyfed 1
dylan 1
eagle 1
earth 1
escapes 1
except 1
face 1
falls 1
feet 1
finds 1
flower 1
flowers 2
footholder 2
for 1
form 2
from 1
gilfaethwy 5
gives 2
giving 1
goewin 3
going 1
goronwy 4
gwydion 8
gwynedd 1
gyffes 1
hand 1
hard 1
have 3
he 6
held 1
her 5
hiding 1
him 7
his 2
human 2
hunter 1
immediately 1
in 5
insists 1
into 7
is 6
it 1
kill 1
killed 1
kills 2
literally 1
living 1
llaw 1
llew 8
love 2
magically 1
make 1
marries 1
math 7
mathonwy 1
means 2
must 1
name 2
naming 1
needs 1
nephew 1
never 2
new 1
north 1
of 4
offers 1
on 2
one 1
or 1
other 1
owl 2
pair 1
passing 1
pierces 1
pigs 1
plot 1
prince 1
pryderi 2
race 1
raised 1
rape 1
rapes 1
refuses 1
restored 1
return 1
returning 1
revealing 1
ruled 1
sea 1
she 3
single 1
sister 1
skilful 1
so 4
son 1
sons 1
spear 1
stone 1
struck 1
suggests 1
swears 2
takes 1
tests 1
that 2
the 7
them 2
then 3
they 2
though 1
three 1
through 1
thrown 1
times 1
to 10
transformed 1
transforming 1
transforms 1
tricks 3
turns 1
two 1
unless 1
virgin 1
virginity 1
wales 1
war 2
was 1
when 2
which 2
while 1
whose 1
wife 2
will 2
with 3
wolves 1
wounded 1
years 1
