44447
/m/0c3ls
/m/0c3ls
Greg Bear
1987
a 10
action 1
against 1
agents 1
alien 3
all 1
american 1
among 1
an 2
and 10
annihilation 1
another 1
antineutronium 1
anvil 1
any 1
are 1
arrival 1
arthur 1
artificial 1
at 2
attackers 1
autopsy 1
bad 1
before 1
being 1
berserker 1
biological 1
biosphere 1
books 1
but 1
by 4
can 1
characters 2
civilisations 1
clearly 1
close 1
collect 1
combat 1
control 1
core 1
creators 1
crew 1
data 1
described 1
desert 1
designed 1
desperate 1
destroy 2
destruction 3
discovery 2
dna 1
down 1
dropped 1
earth 6
electromagnetically 1
english 1
evacuate 1
evacuees 1
events 1
eventual 1
eventually 2
explored 1
faction 2
fails 1
fate 1
features 1
fermi 1
form 2
formation 1
francine 1
frantically 1
fred 1
from 3
geological 1
gordon 1
handful 1
his 1
home 1
however 1
human 2
hunt 1
im 1
in 5
including 1
interrogation 1
into 1
is 6
its 1
killers 1
law 1
least 1
longdead 1
machines 2
mars 1
martin 1
military 1
mind 1
mutual 1
neardead 1
neutronium 1
newly 1
news 1
noisy 1
not 1
novel 1
novels 1
nuclear 1
of 15
on 1
one 2
other 1
out 1
paradox 1
people 1
piece 2
point 1
possibly 1
potential 1
president 1
quest 1
records 1
recruit 1
represented 1
rescued 1
robots 1
saberhagen 1
samples 1
says 1
scenes 1
scientist 1
sealed 1
seeds 1
selfreplicating 1
sequel 1
settle 1
ship 1
show 1
similar 1
small 1
snuffed 1
solution 1
some 3
son 1
sorry 1
space 1
spiderlike 1
stars 1
subsequent 2
take 1
terraformed 1
that 2
the 21
their 1
theme 1
there 2
they 2
this 2
those 1
though 1
threat 2
through 1
tissue 1
to 6
two 1
view 1
while 1
who 3
wife 1
with 2
work 1
world 1
